# time   MOSI  MISO
0.00015  00  08
0.00092  0a  00
0.00119  00  aa
0.00148  0a  00
0.00175  00  aa
0.00201  80  00
0.00230  0a  81
0.00258  99  87
0.00286  01  00
0.00313  00  c8
0.00340  00  00
0.00367  00  c8
0.00395  00  00
0.00421  00  00
0.00451  b0  00
0.00480  00  16
0.00507  00  16
0.00536  a0  50
0.00565  00  00
0.00591  e4  c8
0.00622  00  9c
0.00649  00  6a
0.00688  50  00
0.00715  2d  50
0.00743  90  50
0.00772  00  00
0.00799  00  10
0.00826  0c  00

0.01906  f0  0c
0.01935  b0  11
0.01963  00  16
0.01990  00  16
0.02017  00  50
0.02050  c0  00
0.02078  00  00
0.02105  00  00

0.10201  e0  00
0.10232  00  c2
0.10260  ea  51
0.10292  00  9c
0.10320  00  46
0.10347  00  00
0.10373  00  00
0.10401  00  00
0.10429  e8  00
0.10461  00  22
0.10488  00  16
0.10515  00  00
0.10542  00  00
0.10569  00  00
0.10597  00  00
0.10626  f8  00
0.10654  fc  b3
0.10684  fa  be
0.10713  fe  ba
0.10743  00  c5
0.10780  90  00
0.10810  00  00
0.10837  00  10
0.10906  0a  00
0.10932  00  aa
0.10959  b0  00
0.10988  00  16
0.11015  00  16
0.11042  a0  50
0.11071  00  00
0.11099  e4  c8
0.11130  00  9c
0.11157  b2  6a
0.11187  00  5a
0.11214  00  02
0.11241  00  46

0.11378  f0  00
0.11408  b0  11
0.11437  00  16
0.11464  00  16
0.11491  00  50
0.11524  c0  00
0.11552  00  00
0.11579  00  00

0.19891  e0  00
0.19922  00  c2
0.19949  ea  51
0.19982  00  9c
0.20009  00  46
0.20036  00  00
0.20063  00  00
0.20090  00  00
0.20118  e8  00
0.20150  00  22
0.20177  00  16
0.20204  00  00
0.20231  00  00
0.20258  00  00
0.20286  00  00
0.20313  f8  00
0.20341  fc  b3
0.20371  fa  be
0.20401  fe  ba
0.20430  00  c5
0.20468  90  00
0.20496  00  00
0.20524  00  10
0.20550  50  00
0.20578  2d  50
0.20608  c0  50
0.20636  00  00
0.20663  00  00
0.20692  06  00
0.20767  0f  06
0.20796  f0  0f
0.20825  b0  11
0.20853  00  16
0.20881  00  16
0.20908  00  50
0.20963  c0  00
0.20992  00  00
0.21018  00  00

0.26300  e0  00
0.26331  00  c2
0.26360  ea  51
0.26392  00  9c
0.26419  00  46
0.26446  00  00
0.26473  00  00
0.26505  00  00
0.26533  e8  00
0.26565  00  22
0.26592  00  16
0.26619  00  00
0.26646  00  00
0.26674  00  00
0.26701  00  00
0.26728  f8  00
0.26759  fc  b3
0.26789  fa  be
0.26818  fe  ba
0.26849  00  c5
0.26886  90  00
0.26915  00  00
0.26943  00  04
0.26987  f0  00
0.27016  b0  11
0.27045  00  16
0.27072  00  16
0.27099  00  50
0.27154  c0  00
0.27183  00  ff
0.27210  00  27

0.32470  e0  00
0.32502  00  c2
0.32529  ea  51
0.32561  00  9c
0.32588  00  46
0.32615  00  00
0.32642  00  00
0.32669  00  00
0.32696  e8  00
0.32728  00  22
0.32755  00  16
0.32782  00  00
0.32809  00  00
0.32836  00  00
0.32863  00  00
0.32894  f8  00
0.32923  fc  b3
0.32954  fa  be
0.32986  fe  ba
0.33016  00  c5
0.33053  90  00
0.33082  00  00
0.33110  00  04
0.33141  f0  00
0.33169  b0  11
0.33198  00  16
0.33225  00  16
0.33255  00  50
0.33309  c0  00
0.33338  00  fd
0.33365  00  47

0.38626  e0  00
0.38657  00  c2
0.38684  ea  7a
0.38716  00  21
0.38743  00  80
0.38770  00  00
0.38798  00  00
0.38825  00  00
0.38852  e8  00
0.38884  00  21
0.38911  00  c2
0.38939  00  00
0.38966  00  00
0.38993  00  00
0.39021  00  00
0.39050  f8  00
0.39079  fc  b7
0.39109  fa  c1
0.39139  fe  bc
0.39169  00  c7
0.39233  90  00
0.39262  00  00
0.39296  00  04

0.39396  f0  00
0.39424  b0  0d
0.39453  00  16
0.39480  00  16
0.39507  00  50
0.39564  c0  00
0.39593  00  fb
0.39620  00  5f

0.44903  e0  00
0.44934  00  c2
0.44961  ea  7a
0.44996  00  21
0.45024  00  80
0.45051  00  00
0.45078  00  00
0.45105  00  00
0.45133  e8  00
0.45165  00  21
0.45193  00  c2
0.45219  00  00
0.45250  00  00
0.45277  00  00
0.45305  00  00
0.45334  f8  00
0.45362  fc  b7
0.45392  fa  c1
0.45422  fe  bc
0.45452  00  c7
0.45516  90  00
0.45548  00  00
0.45582  00  04
0.45680  0a  00
0.45707  00  aa
0.45734  b0  00
0.45763  00  16
0.45791  00  16
0.45818  a0  50
0.45847  00  00
0.45874  e4  c8
0.45905  00  9c
0.45932  b2  6a
0.45962  00  5a
0.45989  00  01
0.46016  00  35
0.46072  f0  00
0.46100  b0  0d
0.46130  00  16
0.46156  00  16
0.46184  00  50
0.46241  c0  00
0.46269  00  f9
0.46296  00  5b

0.51514  e0  00
0.51547  00  c2
0.51574  ea  9e
0.51607  00  21
0.51634  00  48
0.51661  00  00
0.51688  00  00
0.51715  00  00
0.51743  e8  00
0.51775  00  21
0.51803  00  66
0.51830  00  00
0.51857  00  00
0.51884  00  00
0.51911  00  00
0.51938  f8  00
0.51967  fc  ba
0.51996  fa  c6
0.52026  fe  bd
0.52056  00  ca
0.52122  90  00
0.52154  00  00
0.52187  00  04
0.52285  f0  00
0.52313  b0  0d
0.52342  00  16
0.52370  00  16
0.52397  00  50
0.52452  c0  00
0.52480  00  f7
0.52507  00  77

0.57863  e0  00
0.57894  00  c2
0.57921  ea  9e
0.57953  00  21
0.57980  00  48
0.58007  00  00
0.58034  00  00
0.58063  00  00
0.58090  e8  00
0.58122  00  21
0.58149  00  66
0.58176  00  00
0.58204  00  00
0.58231  00  00
0.58259  00  00
0.58285  f8  00
0.58314  fc  ba
0.58344  fa  c6
0.58373  fe  bd
0.58407  00  ca
0.58443  90  00
0.58471  00  00
0.58498  00  04
0.58529  f0  00
0.58559  b0  0d
0.58589  00  16
0.58616  00  16
0.58643  00  50
0.58700  c0  00
0.58729  00  f5
0.58755  00  93

0.64065  e0  00
0.64096  00  c2
0.64123  ea  ce
0.64155  00  20
0.64183  00  de
0.64210  00  00
0.64239  00  00
0.64270  00  00
0.64298  e8  00
0.64330  00  20
0.64357  00  ed
0.64384  00  00
0.64411  00  00
0.64438  00  00
0.64465  00  00
0.64492  f8  00
0.64521  fc  bd
0.64550  fa  cb
0.64580  fe  be
0.64612  00  cd
0.64692  90  00
0.64722  00  00
0.64755  00  04
0.64846  f0  00
0.64874  b0  12
0.64903  00  16
0.64934  00  16
0.64963  00  50
0.65018  c0  00
0.65046  00  f3
0.65073  00  a3

0.70293  e0  00
0.70324  00  c2
0.70351  ea  ce
0.70383  00  20
0.70410  00  de
0.70437  00  00
0.70465  00  00
0.70492  00  00
0.70519  e8  00
0.70551  00  20
0.70578  00  ed
0.70606  00  00
0.70633  00  00
0.70660  00  00
0.70688  00  00
0.70716  f8  00
0.70745  fc  bd
0.70774  fa  cb
0.70804  fe  be
0.70833  00  cd
0.70899  90  00
0.70932  00  00
0.70980  00  04
0.71065  f0  00
0.71093  b0  12
0.71125  00  16
0.71152  00  16
0.71180  00  50
0.71234  c0  00
0.71263  00  f1
0.71290  00  bf

0.76522  e0  00
0.76553  00  c2
0.76580  ea  ce
0.76612  00  20
0.76639  00  de
0.76666  00  00
0.76693  00  00
0.76720  00  00
0.76747  e8  00
0.76779  00  20
0.76806  00  ed
0.76833  00  00
0.76860  00  00
0.76887  00  00
0.76915  00  00
0.76943  f8  00
0.76972  fc  bd
0.77002  fa  cb
0.77032  fe  be
0.77062  00  cd
0.77098  90  00
0.77127  00  00
0.77154  00  10
0.77191  50  00
0.77219  2e  50
0.77251  c0  50
0.77280  00  f1
0.77306  00  82
0.77334  0a  00
0.77361  00  aa
0.77387  b0  00
0.77416  00  16
0.77443  00  16
0.77470  a0  50
0.77499  00  00
0.77526  e4  c8
0.77557  00  9c
0.77584  b2  6a
0.77614  00  5a
0.77641  00  00
0.77668  00  25
0.77724  f0  00
0.77752  b0  12
0.77781  00  16
0.77807  00  16
0.77834  00  50
0.77889  c0  00
0.77918  00  f1
0.77944  00  82

0.86712  e0  00
0.86743  00  c2
0.86770  ea  ce
0.86802  00  20
0.86830  00  de
0.86857  00  00
0.86884  00  00
0.86911  00  00
0.86938  e8  00
0.86970  00  20
0.86997  00  ed
0.87025  00  00
0.87052  00  00
0.87079  00  00
0.87107  00  00
0.87134  f8  00
0.87162  fc  bd
0.87192  fa  cb
0.87222  fe  be
0.87251  00  cd
0.87287  90  00
0.87316  00  00
0.87344  00  10
0.87371  50  00
0.87399  2d  50
0.87431  05  50
0.87507  0f  05
0.87535  f0  0f
0.87563  b0  12
0.87592  00  16
0.87619  00  16
0.87646  00  50
0.87700  c0  00
0.87729  00  f1
0.87756  00  83

0.92918  e0  00
0.92949  00  c2
0.92976  ea  ce
0.93009  00  20
0.93036  00  de
0.93063  00  00
0.93092  00  00
0.93119  00  00
0.93147  e8  00
0.93179  00  20
0.93206  00  ed
0.93233  00  00
0.93260  00  00
0.93287  00  00
0.93314  00  00
0.93341  f8  00
0.93370  fc  bd
0.93403  fa  cb
0.93432  fe  be
0.93462  00  cd
0.93498  90  00
0.93526  00  00
0.93555  00  04
0.93597  f0  00
0.93626  b0  12
0.93655  00  16
0.93682  00  16
0.93708  00  50
0.93763  c0  00
0.93793  00  f2
0.93819  00  e0

0.98953  e0  00
0.98984  00  c2
0.99011  ea  ce
0.99043  00  20
0.99070  00  de
0.99098  00  00
0.99125  00  00
0.99152  00  00
0.99180  e8  00
0.99212  00  20
0.99241  00  ed
0.99268  00  00
0.99294  00  00
0.99321  00  00
0.99349  00  00
0.99376  f8  00
0.99404  fc  bd
0.99434  fa  cb
0.99463  fe  be
0.99493  00  cd
0.99529  90  00
0.99558  00  00
0.99598  00  04
0.99629  f0  00
0.99657  b0  12
0.99686  00  16
0.99713  00  16
0.99740  00  50
0.99797  c0  00
0.99826  00  f4
0.99852  00  b8

1.05030  e0  00
1.05061  00  c2
1.05089  ea  9e
1.05122  00  21
1.05149  00  48
1.05176  00  00
1.05203  00  00
1.05230  00  00
1.05261  e8  00
1.05293  00  21
1.05320  00  66
1.05347  00  00
1.05375  00  00
1.05402  00  00
1.05429  00  00
1.05456  f8  00
1.05484  fc  ba
1.05514  fa  c6
1.05543  fe  bd
1.05574  00  ca
1.05638  90  00
1.05675  00  00
1.05708  00  04
1.05802  f0  00
1.05831  b0  0d
1.05860  00  16
1.05887  00  16
1.05914  00  50
1.05971  c0  00
1.05999  00  f6
1.06026  00  98

1.11148  e0  00
1.11179  00  c2
1.11205  ea  9e
1.11237  00  21
1.11264  00  48
1.11291  00  00
1.11318  00  00
1.11346  00  00
1.11373  e8  00
1.11410  00  21
1.11437  00  66
1.11464  00  00
1.11491  00  00
1.11518  00  00
1.11546  00  00
1.11572  f8  00
1.11601  fc  ba
1.11631  fa  c6
1.11660  fe  bd
1.11691  00  ca
1.11757  90  00
1.11789  00  00
1.11823  00  04
1.11921  0a  00
1.11948  00  aa
1.11974  b0  00
1.12003  00  16
1.12029  00  16
1.12056  a0  50
1.12085  00  00
1.12112  e4  c8
1.12143  00  9c
1.12172  b2  6a
1.12201  00  5a
1.12229  00  01
1.12255  00  35
1.12311  f0  00
1.12339  b0  0d
1.12369  00  16
1.12395  00  16
1.12423  00  50
1.12479  c0  00
1.12508  00  f8
1.12535  00  90

1.17682  e0  00
1.17713  00  c2
1.17740  ea  7a
1.17772  00  21
1.17804  00  80
1.17831  00  00
1.17858  00  00
1.17885  00  00
1.17912  e8  00
1.17944  00  21
1.17972  00  c2
1.17999  00  00
1.18029  00  00
1.18055  00  00
1.18083  00  00
1.18112  f8  00
1.18141  fc  b7
1.18170  fa  c1
1.18200  fe  bc
1.18230  00  c7
1.18294  90  00
1.18341  00  00
1.18374  00  04
1.18459  f0  00
1.18487  b0  0d
1.18516  00  16
1.18542  00  16
1.18569  00  50
1.18624  c0  00
1.18653  00  fa
1.18679  00  6c

1.23850  e0  00
1.23881  00  c2
1.23908  ea  51
1.23941  00  9c
1.23968  00  46
1.23998  00  00
1.24025  00  00
1.24052  00  00
1.24079  e8  00
1.24113  00  22
1.24140  00  16
1.24168  00  00
1.24195  00  00
1.24223  00  00
1.24250  00  00
1.24277  f8  00
1.24309  fc  b3
1.24338  fa  be
1.24368  fe  ba
1.24398  00  c5
1.24464  90  00
1.24499  00  00

1.24617  00  04
1.24648  f0  00
1.24677  b0  11
1.24707  00  16
1.24733  00  16
1.24760  00  50
1.24815  c0  00
1.24844  00  fc
1.24870  00  4c

1.30074  e0  00
1.30105  00  c2
1.30132  ea  51
1.30164  00  9c
1.30191  00  46
1.30220  00  00
1.30247  00  00
1.30274  00  00
1.30301  e8  00
1.30333  00  22
1.30360  00  16
1.30389  00  00
1.30416  00  00
1.30443  00  00
1.30471  00  00
1.30497  f8  00
1.30526  fc  b3
1.30556  fa  be
1.30586  fe  ba
1.30616  00  c5
1.30680  90  00
1.30716  00  00
1.30749  00  04
1.30843  f0  00
1.30872  b0  11
1.30903  00  16
1.30929  00  16
1.30956  00  50
1.31013  c0  00
1.31042  00  fe
1.31068  00  2c

1.35510  c0  00
1.35539  00  ff
1.35565  00  8c
1.35594  90  00
1.35623  00  00
1.35652  00  04
1.35679  07  00

1.35798  0f  07
1.35827  90  0f
1.35855  00  00
1.35883  00  00

1.39579  f0  00
1.39608  b0  11
1.39637  00  16
1.39664  00  16
1.39691  00  50
1.39721  c0  00
1.39749  00  ff
1.39776  00  b5

1.48056  e0  00
1.48087  00  c2
1.48114  ea  51
1.48146  00  9c
1.48173  00  46
1.48200  00  00
1.48227  00  00
1.48254  00  00
1.48282  e8  00
1.48314  00  22
1.48341  00  16
1.48368  00  00
1.48395  00  00
1.48422  00  00
1.48452  00  00
1.48478  f8  00
1.48507  fc  b3
1.48536  fa  be
1.48566  fe  ba
1.48596  00  c5
1.48633  90  00
1.48661  00  00
1.48689  00  00
1.48716  0a  00
1.48743  00  aa
1.48770  b0  00
1.48799  00  16
1.48826  00  16
1.48853  a0  50
1.48882  00  00
1.48909  e4  c8
1.48940  00  9c
