# time   MOSI  MISO
0.00015  00  00
0.00115  0a  00
0.00141  00  aa
0.00168  0a  00
0.00195  00  aa
0.00222  80  00
0.00251  0a  81
0.00278  99  87
0.00308  01  00
0.00335  00  c8
0.00362  00  00
0.00389  00  c8
0.00416  00  00
0.00443  00  00
0.00470  b0  00
0.00500  00  16
0.00526  00  16
0.00553  a0  50
0.00582  00  00
0.00609  e4  c8
0.00640  00  9c
0.00667  00  6a
0.00708  50  00
0.00736  2f  50
0.00764  90  50
0.00793  00  20
0.00820  00  84

0.04921  90  00
0.04950  00  20
0.04977  00  84
0.05007  0a  00
0.05034  00  aa
0.05060  b0  00
0.05089  00  16
0.05117  00  16
0.05144  a0  50
0.05172  00  00
0.05198  e4  c8
0.05230  00  9c
0.05257  b2  6a
0.05286  00  5a
0.05313  00  00
0.05340  00  25

0.09907  90  00
0.09935  00  20
0.09963  00  84
0.09992  0a  00
0.10019  00  aa
0.10045  b0  00
0.10075  00  16
0.10101  00  16
0.10128  a0  50
0.10157  00  00
0.10183  e4  c8
0.10215  00  9c
0.10242  b2  6a
0.10272  00  5a
0.10299  00  00
0.10327  00  25

0.14894  90  00
0.14922  00  20
0.14950  00  84
0.14979  0a  00
0.15007  00  aa
0.15034  b0  00
0.15063  00  16
0.15090  00  16
0.15117  a0  50
0.15146  00  00
0.15172  e4  c8
0.15204  00  9c
0.15231  b2  6a
0.15261  00  5a
0.15288  00  00
0.15315  00  25

0.19881  90  00
0.19911  00  20
0.19939  00  84
0.19969  0a  00
0.19996  00  aa
0.20024  b0  00
0.20053  00  16
0.20080  00  16
0.20107  a0  50
0.20136  00  00
0.20163  e4  c8
0.20194  00  9c
0.20221  b2  6a
0.20252  00  5a
0.20279  00  00
0.20307  00  25

0.24869  90  00
0.24898  00  20
0.24925  00  84
0.24955  0a  00
0.24982  00  aa
0.25008  b0  00
0.25038  00  16
0.25065  00  16
0.25092  a0  50
0.25121  00  00
0.25148  e4  c8
0.25179  00  9c
0.25206  b2  6a
0.25235  00  5a
0.25262  00  00
0.25289  00  25

0.29856  90  00
0.29885  00  20
0.29912  00  84
0.29942  0a  00
0.29969  00  aa
0.29996  b0  00
0.30026  00  16
0.30052  00  16
0.30079  a0  50
0.30109  00  00
0.30135  e4  c8
0.30167  00  9c
0.30194  b2  6a
0.30225  00  5a
0.30252  00  00
0.30279  00  25

0.34843  90  00
0.34872  00  20
0.34900  00  84
0.34929  0a  00
0.34956  00  aa
0.34982  b0  00
0.35011  00  16
0.35038  00  16
0.35065  a0  50
0.35094  00  00
0.35121  e4  c8
0.35153  00  9c
0.35180  b2  6a
0.35209  00  5a
0.35236  00  00
0.35263  00  25

0.39831  90  00
0.39859  00  20
0.39888  00  84
0.39918  0a  00
0.39945  00  aa
0.39971  b0  00
0.40001  00  16
0.40028  00  16
0.40054  a0  50
0.40083  00  00
0.40110  e4  c8
0.40141  00  9c
0.40168  b2  6a
0.40198  00  5a
0.40225  00  00
0.40252  00  25

0.44818  90  00
0.44846  00  20
0.44874  00  84
0.44903  0a  00
0.44931  00  aa
0.44958  b0  00
0.44987  00  16
0.45013  00  16
0.45042  a0  50
0.45071  00  00
0.45098  e4  c8
0.45129  00  9c
0.45157  b2  6a
0.45187  00  5a
0.45213  00  00
0.45240  00  25

0.49805  90  00
0.49834  00  20
0.49862  00  84
0.49891  0a  00
0.49918  00  aa
0.49946  b0  00
0.49974  00  16
0.50002  00  16
0.50028  a0  50
0.50057  00  00
0.50084  e4  c8
0.50116  00  9c
0.50143  b2  6a
0.50173  00  5a
0.50200  00  00
0.50228  00  25

0.54793  90  00
0.54821  00  20
0.54849  00  84
0.54879  0a  00
0.54906  00  aa
0.54933  b0  00
0.54962  00  16
