# time   MOSI  MISO
0.00015  00  00
0.00116  0a  00
0.00143  00  aa
0.00169  0a  00
0.00196  00  aa
0.00222  80  00
0.00251  0a  81
0.00279  99  87
0.00306  01  00
0.00333  00  c8
0.00360  00  00
0.00388  00  c8
0.00415  00  00
0.00442  00  00
0.00469  b0  00
0.00499  00  16
0.00525  00  16
0.00552  a0  50
0.00581  00  00
0.00608  e4  c8
0.00639  00  9c
0.00666  00  6a
0.00705  50  00
0.00733  2f  50
0.00760  90  50
0.00789  00  20
0.00817  00  84

0.04960  90  00
0.04988  00  20
0.05016  00  84
0.05045  0a  00
0.05073  00  aa
0.05099  b0  00
0.05129  00  16
0.05155  00  16
0.05182  a0  50
0.05211  00  00
0.05238  e4  c8
0.05270  00  9c
0.05297  b2  6a
0.05327  00  5a
0.05354  00  00
0.05381  00  25

0.09946  90  00
0.09975  00  20
0.10002  00  84
0.10032  0a  00
0.10059  00  aa
0.10085  b0  00
0.10115  00  16
0.10142  00  16
0.10169  a0  50
0.10198  00  00
0.10224  e4  c8
0.10256  00  9c
0.10283  b2  6a
0.10312  00  5a
0.10339  00  00
0.10366  00  25

0.14933  90  00
0.14961  00  20
0.14990  00  84
0.15020  0a  00
0.15046  00  aa
0.15073  b0  00
0.15103  00  16
0.15130  00  16
0.15157  a0  50
0.15186  00  00
0.15213  e4  c8
0.15244  00  9c
0.15271  b2  6a
0.15301  00  5a
0.15327  00  00
0.15354  00  25

0.19920  90  00
0.19949  00  20
0.19977  00  84
0.20006  0a  00
0.20033  00  aa
0.20060  b0  00
0.20090  00  16
0.20117  00  16
0.20144  a0  50
0.20172  00  00
0.20200  e4  c8
0.20231  00  9c
0.20258  b2  6a
0.20289  00  5a
0.20315  00  00
0.20343  00  25

0.24908  90  00
0.24936  00  20
0.24964  00  84
0.24993  0a  00
0.25020  00  aa
0.25046  b0  00
0.25077  00  16
0.25104  00  16
0.25131  a0  50
0.25160  00  00
0.25187  e4  c8
0.25218  00  9c
0.25245  b2  6a
0.25275  00  5a
0.25303  00  00
0.25330  00  25

0.29895  90  00
0.29924  00  20
0.29951  00  84
0.29981  0a  00
0.30008  00  aa
0.30037  b0  00
0.30066  00  16
0.30093  00  16
0.30120  a0  50
0.30148  00  00
0.30175  e4  c8
0.30206  00  9c
0.30233  b2  6a
0.30263  00  5a
0.30290  00  00
0.30318  00  25

0.34882  90  00
0.34911  00  20
0.34939  00  84
0.34968  0a  00
0.34995  00  aa
0.35021  b0  00
0.35051  00  16
0.35078  00  16
0.35105  a0  50
0.35134  00  00
0.35161  e4  c8
0.35192  00  9c
0.35219  b2  6a
0.35249  00  5a
0.35275  00  00
0.35302  00  25

0.39870  90  00
0.39898  00  20
0.39926  00  84
0.39955  0a  00
0.39982  00  aa
0.40008  b0  00
0.40037  00  16
0.40063  00  16
0.40090  a0  50
0.40119  00  00
0.40148  e4  c8
0.40179  00  9c
0.40206  b2  6a
0.40236  00  5a
0.40263  00  00
0.40291  00  25

0.44857  90  00
0.44886  00  20
0.44913  00  84
0.44943  0a  00
0.44970  00  aa
0.44997  b0  00
0.45026  00  16
0.45053  00  16
0.45080  a0  50
0.45110  00  00
0.45136  e4  c8
0.45168  00  9c
0.45195  b2  6a
0.45225  00  5a
0.45252  00  00
0.45279  00  25

0.49844  90  00
0.49873  00  20
0.49900  00  84
0.49930  0a  00
0.49957  00  aa
0.49983  b0  00
0.50012  00  16
0.50039  00  16
0.50068  a0  50
0.50097  00  00
0.50123  e4  c8
0.50155  00  9c
0.50184  b2  6a
0.50214  00  5a
0.50241  00  00
0.50267  00  25

0.54832  90  00
0.54861  00  20
0.54888  00  84
0.54918  0a  00
0.54945  00  aa
0.54972  b0  00
0.55000  00  16
0.55027  00  16
0.55054  a0  50
0.55083  00  00
0.55110  e4  c8
0.55141  00  9c
0.55168  b2  6a
0.55198  00  5a
0.55227  00  00
0.55253  00  25

0.59819  90  00
0.59848  00  20
0.59876  00  84
0.59905  0a  00
0.59932  00  aa
0.59958  b0  00
0.59987  00  16
0.60014  00  16
0.60041  a0  50
0.60070  00  00
0.60097  e4  c8
0.60128  00  9c
0.60155  b2  6a
0.60185  00  5a
0.60211  00  00
0.60238  00  25

0.64807  90  00
0.64835  00  20
0.64863  00  84
0.64893  0a  00
0.64921  00  aa
0.64947  b0  00
0.64976  00  16
0.65003  00  16
0.65030  a0  50
0.65059  00  00
0.65087  e4  c8
0.65118  00  9c
0.65145  b2  6a
0.65175  00  5a
0.65203  00  00
0.65230  00  25

0.69794  90  00
0.69823  00  20
0.69850  00  84
0.69880  0a  00
0.69907  00  aa
0.69934  b0  00
0.69962  00  16
0.69989  00  16
0.70016  a0  50
0.70045  00  00
0.70072  e4  c8
0.70103  00  9c
0.70130  b2  6a
0.70161  00  5a
0.70187  00  00
0.70215  00  25

0.74781  90  00
0.74810  00  20
0.74838  00  84
0.74867  0a  00
0.74894  00  aa
0.74920  b0  00
0.74950  00  16
0.74976  00  16
0.75004  a0  50
0.75032  00  00
0.75059  e4  c8
0.75091  00  9c
0.75118  b2  6a
0.75147  00  5a
0.75174  00  00
0.75201  00  25

0.79769  90  00
0.79797  00  20
0.79825  00  84
0.79854  0a  00
0.79881  00  aa
0.79908  b0  00
0.79937  00  16
0.79964  00  16
0.79991  a0  50
0.80020  00  00
0.80047  e4  c8
0.80078  00  9c
0.80106  b2  6a
0.80136  00  5a
0.80163  00  00
0.80190  00  25

0.84756  90  00
0.84785  00  20
