# time   MOSI  MISO
0.00015  00  08
0.00093  0a  00
0.00120  00  aa
0.00159  0a  00
0.00186  00  aa
0.00212  80  00
0.00243  0a  81
0.00272  99  87
0.00299  01  00
0.00326  00  c8
0.00354  00  00
0.00381  00  c8
0.00409  00  00
0.00436  00  00
0.00465  b0  00
0.00494  00  16
0.00521  00  16
0.00548  a0  50
0.00577  00  00
0.00604  e4  c8
0.00635  00  9c
0.00661  00  6a
0.00700  50  00
0.00727  2f  50
0.00756  90  50
0.00784  00  00
0.00812  00  80
0.00839  0c  00

0.04666  90  0c
0.04694  00  00
0.04722  00  80
0.04753  0a  00
0.04780  00  aa
0.04806  b0  00
0.04836  00  16
0.04862  00  16
0.04889  a0  50
0.04918  00  00
0.04945  e4  c8
0.04977  00  9c
0.05004  b2  6a
0.05033  00  5a
0.05060  00  00
0.05087  00  25

0.09657  90  00
0.09685  00  00
0.09712  00  80
0.09743  0a  00
0.09770  00  aa
0.09796  b0  00
0.09825  00  16
0.09852  00  16
0.09879  a0  50
0.09908  00  00
0.09935  e4  c8
0.09966  00  9c
0.09995  b2  6a
0.10025  00  5a
0.10052  00  00
0.10079  00  25

0.14645  90  00
0.14673  00  00
0.14701  00  80
0.14733  0a  00
0.14762  00  aa
0.14788  b0  00
0.14818  00  16
0.14844  00  16
0.14872  a0  50
0.14901  00  00
0.14927  e4  c8
0.14959  00  9c
0.14986  b2  6a
0.15016  00  5a
0.15043  00  00
0.15070  00  25

0.19632  90  00
0.19661  00  00
0.19688  00  80
0.19720  0a  00
0.19748  00  aa
0.19774  b0  00
0.19804  00  16
0.19831  00  16
0.19858  a0  50
0.19887  00  00
0.19913  e4  c8
0.19944  00  9c
0.19971  b2  6a
0.20003  00  5a
0.20031  00  00
0.20058  00  25

0.24615  90  00
0.24644  00  00
0.24671  00  80
0.24704  0a  00
0.24732  00  aa
0.24759  b0  00
0.24788  00  16
0.24814  00  16
0.24841  a0  50
0.24870  00  00
0.24897  e4  c8
0.24928  00  9c
0.24956  b2  6a
0.24986  00  5a
0.25013  00  00
0.25041  00  25

0.29603  90  00
0.29631  00  00
0.29658  00  80
0.29691  0a  00
0.29717  00  aa
0.29744  b0  00
0.29773  00  16
0.29799  00  16
0.29826  a0  50
0.29855  00  00
0.29882  e4  c8
0.29913  00  9c
0.29941  b2  6a
0.29971  00  5a
0.29997  00  00
0.30025  00  25

0.34593  90  00
0.34621  00  00
0.34649  00  80
0.34678  0a  00
0.34705  00  aa
0.34732  b0  00
0.34760  00  16
0.34787  00  16
0.34814  a0  50
0.34845  00  00
0.34871  e4  c8
0.34902  00  9c
0.34932  b2  6a
0.34962  00  5a
0.34988  00  00
0.35015  00  25

0.39578  90  00
0.39606  00  00
0.39634  00  80
0.39664  0a  00
0.39691  00  aa
0.39719  b0  00
0.39748  00  16
0.39774  00  16
0.39801  a0  50
0.39830  00  00
0.39857  e4  c8
0.39889  00  9c
0.39917  b2  6a
0.39946  00  5a
0.39973  00  00
0.40000  00  25

0.44565  90  00
0.44593  00  00
0.44621  00  80
0.44651  0a  00
0.44677  00  aa
0.44704  b0  00
0.44733  00  16
0.44760  00  16
0.44787  a0  50
0.44815  00  00
0.44842  e4  c8
0.44873  00  9c
0.44902  b2  6a
0.44933  00  5a
0.44959  00  00
0.44987  00  25

0.49552  90  00
0.49581  00  00
0.49608  00  80
0.49638  0a  00
0.49667  00  aa
0.49693  b0  00
0.49722  00  16
0.49749  00  16
0.49777  a0  50
0.49807  00  00
0.49835  e4  c8
0.49867  00  9c
0.49894  b2  6a
0.49923  00  5a
0.49950  00  00
0.49977  00  25

0.54539  90  00
0.54568  00  00
0.54597  00  80
0.54628  0a  00
0.54655  00  aa
0.54682  b0  00
0.54711  00  16
0.54738  00  16
0.54765  a0  50
0.54794  00  00
0.54822  e4  c8
0.54853  00  9c
0.54881  b2  6a
0.54911  00  5a
0.54938  00  00
0.54965  00  25

0.59529  90  00
0.59558  00  00
0.59585  00  80
0.59616  0a  00
0.59642  00  aa
0.59669  b0  00
0.59698  00  16
0.59725  00  16
0.59752  a0  50
0.59780  00  00
0.59808  e4  c8
0.59840  00  9c
0.59867  b2  6a
0.59896  00  5a
0.59923  00  00
0.59950  00  25

0.64519  90  00
0.64547  00  00
0.64575  00  80
0.64606  0a  00
0.64633  00  aa
0.64659  b0  00
0.64689  00  16
0.64716  00  16
0.64744  a0  50
0.64772  00  00
0.64801  e4  c8
0.64831  00  9c
0.64858  b2  6a
0.64889  00  5a
0.64915  00  00
0.64942  00  25

0.69506  90  00
0.69535  00  00
0.69562  00  80
0.69593  0a  00
0.69620  00  aa
0.69647  b0  00
0.69676  00  16
0.69703  00  16
0.69730  a0  50
0.69758  00  00
0.69786  e4  c8
0.69817  00  9c
0.69844  b2  6a
0.69876  00  5a
0.69903  00  00
0.69929  00  25

0.74494  90  00
0.74522  00  00
0.74550  00  80
0.74582  0a  00
0.74609  00  aa
0.74637  b0  00
0.74666  00  16
0.74693  00  16
0.74720  a0  50
0.74749  00  00
0.74776  e4  c8
0.74808  00  9c
0.74835  b2  6a
0.74866  00  5a
0.74893  00  00
0.74921  00  25

0.79482  90  00
0.79512  00  00
0.79541  00  80
0.79568  0a  00
0.79595  00  aa
0.79622  b0  00
0.79651  00  16
0.79678  00  16
0.79705  a0  50
0.79734  00  00
0.79761  e4  c8
0.79792  00  9c
0.79819  b2  6a
0.79853  00  5a
0.79880  00  00
0.79907  00  25

0.84468  90  00
0.84498  00  00
0.84525  00  80
0.84555  0a  00
0.84582  00  aa
0.84608  b0  00
0.84638  00  16
0.84665  00  16
0.84692  a0  50
0.84721  00  00
0.84748  e4  c8
0.84782  00  9c
0.84809  b2  6a
0.84838  00  5a
0.84865  00  00
0.84892  00  25

0.89456  90  00
0.89484  00  00
0.89512  00  80
0.89541  0a  00
0.89570  00  aa
0.89597  b0  00
0.89627  00  16
0.89654  00  16
0.89681  a0  50
0.89712  00  00
0.89739  e4  c8
0.89769  00  9c
0.89797  b2  6a
0.89826  00  5a
0.89853  00  00
0.89880  00  25

0.94443  90  00
0.94472  00  00
0.94500  00  80
0.94529  0a  00
0.94556  00  aa
0.94583  b0  00
0.94613  00  16
0.94642  00  16
0.94669  a0  50
0.94697  00  00
0.94724  e4  c8
0.94755  00  9c
0.94782  b2  6a
0.94812  00  5a
0.94839  00  00
0.94866  00  25

0.99432  90  00
0.99463  00  00
0.99490  00  80
0.99520  0a  00
0.99547  00  aa
0.99575  b0  00
0.99604  00  16
0.99631  00  16
0.99658  a0  50
0.99686  00  00
0.99713  e4  c8
0.99743  00  9c
0.99770  b2  6a
0.99800  00  5a
0.99827  00  00
0.99854  00  25

1.04419  90  00
1.04448  00  00
1.04478  00  80
1.04508  0a  00
1.04534  00  aa
1.04562  b0  00
1.04591  00  16
1.04618  00  16
1.04645  a0  50
1.04674  00  00
1.04700  e4  c8
1.04731  00  9c
1.04758  b2  6a
1.04788  00  5a
1.04814  00  00
1.04841  00  25

1.09406  90  00
1.09434  00  00
1.09462  00  80
1.09494  0a  00
1.09521  00  aa
1.09549  b0  00
1.09578  00  16
1.09604  00  16
1.09631  a0  50
1.09661  00  00
1.09687  e4  c8
1.09718  00  9c
1.09745  b2  6a
1.09775  00  5a
1.09802  00  00
1.09829  00  25

1.14393  90  00
1.14421  00  00
1.14449  00  80
1.14481  0a  00
1.14507  00  aa
1.14535  b0  00
1.14565  00  16
1.14591  00  16
1.14618  a0  50
1.14646  00  00
1.14674  e4  c8
1.14705  00  9c
1.14731  b2  6a
1.14761  00  5a
1.14788  00  00
1.14815  00  25

1.19378  90  00
1.19407  00  00
1.19434  00  80
1.19466  0a  00
1.19493  00  aa
1.19521  b0  00
1.19550  00  16
1.19578  00  16
1.19604  a0  50
1.19633  00  00
1.19660  e4  c8
1.19691  00  9c
1.19717  b2  6a
1.19750  00  5a
1.19777  00  00
1.19804  00  25

1.24361  90  00
1.24389  00  00
1.24417  00  80
1.24449  0a  00
1.24476  00  aa
