# time   MOSI  MISO
0.00015  00  08
0.00090  0a  00
0.00117  00  aa
0.00144  0a  00
0.00171  00  aa
0.00198  80  00
0.00227  0a  81
0.00255  99  87
0.00284  01  00
0.00312  00  c8
0.00339  00  00
0.00366  00  c8
0.00394  00  00
0.00421  00  00
0.00448  b0  00
0.00477  00  16
0.00504  00  16
0.00531  a0  50
0.00560  00  00
0.00586  e4  c8
0.00618  00  9c
0.00645  00  6a
0.00686  50  00
0.00713  2f  50
0.00742  90  50
0.00770  00  00
0.00798  00  80
0.00825  0c  00

0.01641  0e  0c
0.01668  0f  0e

0.01905  c0  0f
0.01934  00  00
0.01960  00  00
0.01993  90  00
0.02021  00  00
0.02049  00  80
0.02076  07  00
0.02131  0e  07
0.02159  0f  0e

0.04337  90  0f

0.04972  00  00
0.05000  00  80
0.05027  0a  00
0.05054  00  aa
0.05081  b0  00
0.05110  00  16
0.05137  00  16
0.05164  a0  50
0.05193  00  00
0.05222  e4  c8
0.05259  00  9c
0.05286  b2  6a
0.05316  00  5a
0.05343  00  00
0.05371  00  25

0.09322  90  00
0.09351  00  00
0.09381  00  80

0.10280  0a  00
0.10307  00  aa
0.10333  b0  00
0.10362  00  16
0.10389  00  16
0.10416  a0  50
0.10445  00  00
0.10471  e4  c8
0.10503  00  9c
0.10530  b2  6a
0.10559  00  5a
0.10586  00  00
0.10613  00  25

0.14276  90  00
0.14305  00  00
0.14333  00  80
0.14362  0a  00
0.14389  00  aa
0.14415  b0  00
0.14454  00  16
0.14481  00  16
0.14508  a0  50
0.14538  00  00
0.14565  e4  c8
0.14596  00  9c
0.14623  b2  6a
0.14653  00  5a
0.14680  00  00
0.14707  00  25

0.19275  90  00
0.19304  00  00
0.19331  00  80
0.19359  0a  00
0.19386  00  aa
0.19412  b0  00
0.19441  00  16
0.19467  00  16
0.19494  a0  50
0.19525  00  00
0.19552  e4  c8
0.19584  00  9c
0.19610  b2  6a
0.19640  00  5a
0.19666  00  00
0.19692  00  25

0.24251  90  00
0.24279  00  00
0.24306  00  80
0.24336  0a  00
0.24363  00  aa
0.24389  b0  00
0.24418  00  16
0.24445  00  16
0.24472  a0  50
0.24501  00  00
0.24528  e4  c8
0.24559  00  9c
0.24586  b2  6a
0.24628  00  5a
0.24655  00  00
0.24682  00  25

0.29238  90  00
0.29267  00  00
0.29294  00  80
0.29324  0a  00
0.29351  00  aa
0.29378  b0  00
0.29416  00  16
0.29442  00  16
0.29469  a0  50
0.29500  00  00
0.29527  e4  c8
0.29558  00  9c
0.29585  b2  6a
0.29615  00  5a
0.29642  00  00
0.29669  00  25

0.34237  90  00
0.34266  00  00
0.34293  00  80
0.34321  0a  00
0.34347  00  aa
0.34374  b0  00
0.34403  00  16
0.34429  00  16
0.34456  a0  50
0.34487  00  00
0.34514  e4  c8
0.34545  00  9c
