# time   MOSI  MISO
0.00015  00  00
0.00137  0a  00
0.00163  00  aa
0.00190  0a  00
0.00217  00  aa
0.00244  80  00
0.00273  0a  81
0.00301  99  87
0.00330  01  00
0.00357  00  c8
0.00385  00  00
0.00412  00  c8
0.00440  00  00
0.00467  00  00
0.00494  b0  00
0.00524  00  16
0.00550  00  16
0.00577  a0  50
0.00606  00  00
0.00633  e4  c8
0.00665  00  9c
0.00692  00  6a
0.00730  50  00
0.00758  2f  50
0.00786  90  50
0.00815  00  40
0.00842  00  a4
0.00869  0c  00

0.04953  90  0c
0.04981  00  40
0.05009  00  a4
0.05038  0a  00
0.05065  00  aa
0.05091  b0  00
0.05120  00  16
0.05147  00  16
0.05174  a0  50
0.05202  00  00
0.05229  e4  c8
0.05262  00  9c
0.05289  b2  6a
0.05319  00  5a
0.05346  00  01
0.05373  00  35

0.09939  90  00
0.09968  00  40
0.09995  00  84
0.10035  0a  00
0.10062  00  aa
0.10089  b0  00
0.10118  00  16
0.10145  00  16
0.10176  a0  50
0.10205  00  00
0.10232  e4  c8
0.10264  00  9c
0.10293  b2  6a
0.10322  00  5a
0.10349  00  01
0.10376  00  35

0.14926  90  00
0.14956  00  40
0.14984  00  84
0.15014  0a  00
0.15040  00  aa
0.15067  b0  00
0.15096  00  16
0.15126  00  16
0.15153  a0  50
0.15182  00  00
0.15209  e4  c8
0.15241  00  9c
0.15268  b2  6a
0.15298  00  5a
0.15325  00  01
0.15352  00  35

0.19914  90  00
0.19943  00  40
0.19970  00  84
0.20000  0a  00
0.20027  00  aa
0.20054  b0  00
0.20084  00  16
0.20111  00  16
0.20138  a0  50
0.20167  00  00
0.20195  e4  c8
0.20227  00  9c
0.20254  b2  6a
0.20284  00  5a
0.20311  00  02
0.20338  00  46

0.24902  90  00
0.24930  00  40
0.24958  00  84
0.24988  0a  00
0.25016  00  aa
0.25043  b0  00
0.25072  00  16
0.25098  00  16
0.25126  a0  50
0.25155  00  00
0.25182  e4  c8
0.25213  00  9c
0.25240  b2  6a
0.25270  00  5a
0.25297  00  02
0.25324  00  46

0.29889  90  00
0.29918  00  40
0.29945  00  a4
0.29985  0a  00
0.30013  00  aa
0.30039  b0  00
0.30070  00  16
0.30096  00  16
0.30123  a0  50
0.30152  00  00
0.30179  e4  c8
0.30211  00  9c
0.30238  b2  6a
0.30267  00  5a
0.30294  00  02
0.30322  00  46

0.34877  90  00
0.34910  00  40
0.34941  00  84
0.34980  0a  00
0.35012  00  aa
0.35043  b0  00
0.35078  00  16
0.35105  00  16
0.35132  a0  50
0.35166  00  00
0.35195  e4  c8
0.35231  00  9c
0.35259  b2  6a
0.35293  00  5a
0.35322  00  02
0.35349  00  46

0.39864  90  00
0.39897  00  40
0.39926  00  84
0.39955  0a  00
0.39987  00  aa
0.40015  b0  00
0.40049  00  16
0.40078  00  16
0.40105  a0  50
0.40141  00  00
0.40168  e4  c8
0.40204  00  9c
0.40231  b2  6a
0.40266  00  5a
0.40295  00  02
0.40322  00  46

0.44852  90  00
0.44881  00  00
0.44908  00  80
0.44948  0a  00
0.44974  00  aa
0.45001  b0  00
0.45030  00  16
0.45057  00  16
0.45084  a0  50
0.45113  00  00
0.45140  e4  c8
0.45171  00  9c
0.45199  b2  6a
0.45228  00  5a
0.45254  00  02
0.45282  00  46

0.49840  90  00
0.49868  00  00
0.49896  00  80
0.49926  0a  00
0.49952  00  aa
0.49979  b0  00
0.50008  00  16
0.50034  00  16
0.50062  a0  50
0.50090  00  00
0.50117  e4  c8
0.50149  00  9c
0.50176  b2  6a
0.50205  00  5a
0.50232  00  02
0.50259  00  46

0.54827  90  00
0.54856  00  00
0.54884  00  80
0.54913  0a  00
0.54940  00  aa
