# time   MOSI  MISO
0.00015  00  00
0.00127  0a  00
0.00159  00  aa
0.00185  0a  00
0.00212  00  aa
0.00239  80  00
0.00272  0a  81
0.00301  99  87
0.00334  01  00
0.00364  00  c8
0.00391  00  00
0.00423  00  c8
0.00453  00  00
0.00480  00  00
0.00512  b0  00
0.00545  00  16
0.00577  00  16
0.00605  a0  50
0.00634  00  00
0.00666  e4  c8
0.00704  00  9c
0.00733  00  6a
0.00772  50  00
0.00800  2c  50
0.00833  90  50
0.00862  00  00
0.00895  00  00
0.00924  0c  00

0.04920  f0  0c
0.04953  b0  11
0.04982  00  16
0.05014  00  16
0.05042  00  50
0.05072  c0  00
0.05106  00  00
0.05133  00  00

0.14079  e0  00
0.14110  00  c2
0.14137  ea  51
0.14169  00  9c
0.14196  00  46
0.14223  00  00
0.14250  00  00
0.14277  00  00
0.14305  e8  00
0.14337  00  22
0.14364  00  16
0.14391  00  00
0.14418  00  00
0.14445  00  00
0.14473  00  00
0.14500  f8  00
0.14528  fc  b3
0.14558  fa  be
0.14588  fe  ba
0.14618  00  c5
0.14657  90  00
0.14686  00  00
0.14713  00  00
0.14742  0a  00
0.14768  00  aa
0.14795  b0  00
0.14824  00  16
0.14864  00  16
0.14891  a0  50
0.14920  00  00
0.14947  e4  c8
0.14978  00  9c
0.15005  b2  6a
0.15034  00  5a
0.15061  00  02
0.15088  00  46

0.19967  f0  00
0.19996  b0  11
0.20025  00  16
0.20051  00  16
0.20078  00  50
0.20108  c0  00
0.20138  00  00
0.20165  00  00

0.29133  e0  00
0.29164  00  c2
0.29191  ea  51
0.29223  00  9c
0.29250  00  46
0.29277  00  00
0.29304  00  00
0.29331  00  00
0.29359  e8  00
0.29391  00  22
0.29418  00  16
0.29445  00  00
0.29472  00  00
0.29499  00  00
0.29526  00  00
0.29552  f8  00
0.29581  fc  b3
0.29611  fa  be
0.29640  fe  ba
0.29671  00  c5
0.29708  90  00
0.29736  00  00
0.29763  00  00
0.29791  0a  00
0.29828  00  aa
0.29854  b0  00
0.29884  00  16
0.29910  00  16
0.29937  a0  50
0.29966  00  00
0.29993  e4  c8
0.30024  00  9c
0.30051  b2  6a
0.30081  00  5a
0.30107  00  02
0.30134  00  46

0.34929  f0  00
0.34958  b0  11
0.34987  00  16
0.35013  00  16
0.35040  00  50
0.35070  c0  00
0.35100  00  00
0.35126  00  00

0.44095  e0  00
0.44125  00  c2
0.44152  ea  51
0.44185  00  9c
0.44212  00  46
0.44239  00  00
0.44267  00  00
0.44294  00  00
0.44322  e8  00
0.44354  00  22
0.44381  00  16
0.44408  00  00
0.44435  00  00
0.44462  00  00
0.44490  00  00
0.44516  f8  00
0.44545  fc  b3
0.44576  fa  be
0.44605  fe  ba
0.44635  00  c5
0.44672  90  00
0.44701  00  00
0.44728  00  00
0.44756  0a  00
0.44793  00  aa
0.44819  b0  00
0.44849  00  16
0.44876  00  16
0.44903  a0  50
0.44932  00  00
0.44959  e4  c8
0.44990  00  9c
0.45017  b2  6a
0.45047  00  5a
0.45075  00  02
0.45102  00  46

0.49891  f0  00
0.49920  b0  11
0.49949  00  16
0.49976  00  16
0.50003  00  50
0.50033  c0  00
0.50062  00  00
0.50088  00  00

0.59055  e0  00
0.59086  00  c2
0.59113  ea  51
0.59146  00  9c
0.59173  00  46
0.59200  00  00
0.59229  00  00
0.59256  00  00
0.59284  e8  00
0.59316  00  22
0.59342  00  16
0.59369  00  00
0.59396  00  00
0.59423  00  00
0.59451  00  00
0.59477  f8  00
0.59506  fc  b3
0.59536  fa  be
0.59565  fe  ba
0.59595  00  c5
0.59632  90  00
0.59661  00  00
0.59689  00  00
0.59716  0a  00
0.59753  00  aa
0.59780  b0  00
0.59808  00  16
0.59837  00  16
0.59864  a0  50
0.59893  00  00
0.59920  e4  c8
0.59951  00  9c
0.59978  b2  6a
0.60008  00  5a
0.60037  00  02
0.60064  00  46

0.64853  f0  00
0.64881  b0  11
0.64910  00  16
0.64937  00  16
0.64964  00  50
0.64994  c0  00
0.65024  00  00
0.65051  00  00

0.74215  e0  00
0.74246  00  c2
0.74273  ea  51
0.74306  00  9c
0.74333  00  46
0.74360  00  00
0.74387  00  00
0.74414  00  00
0.74442  e8  00
0.74474  00  22
0.74501  00  16
0.74528  00  00
0.74555  00  00
0.74582  00  00
0.74609  00  00
0.74636  f8  00
0.74664  fc  b3
0.74702  fa  be
0.74731  fe  ba
0.74761  00  c5
0.74801  90  00
0.74829  00  00
0.74857  00  00
