# time   MOSI  MISO
0.00015  00  08
0.00093  0a  00
0.00120  00  aa
0.00147  0a  00
0.00174  00  aa
0.00200  80  00
0.00229  0a  81
0.00257  99  87
0.00284  01  00
0.00311  00  c8
0.00338  00  00
0.00365  00  c8
0.00393  00  00
0.00420  00  00
0.00447  b0  00
0.00476  00  16
0.00502  00  16
0.00529  a0  50
0.00558  00  00
0.00585  e4  c8
0.00616  00  9c
0.00643  00  6a
0.00682  50  00
0.00710  2f  50
0.00738  90  50
0.00766  00  00
0.00794  00  90
0.00822  0c  00

0.01817  90  0c
0.01846  00  00
0.01874  00  90
0.01901  0a  00
0.01928  00  aa
0.01955  b0  00
0.01984  00  16
0.02010  00  16
0.02037  a0  50
0.02066  00  00
0.02093  e4  c8
0.02124  00  9c
0.02151  b2  6a
0.02181  00  5a
0.02207  00  02
0.02234  00  46

0.06618  f0  00
0.06647  b0  11
0.06676  00  16
0.06704  00  16
0.06731  00  50
0.06761  c0  00
0.06790  00  00
0.06817  00  00

0.10464  e0  00
0.10495  00  c2
0.10522  ea  51
0.10555  00  9c
0.10582  00  46
0.10609  00  00
0.10636  00  00
0.10663  00  00
0.10690  e8  00
0.10723  00  22
0.10750  00  16
0.10777  00  00
0.10804  00  00
0.10831  00  00
0.10858  00  00
0.10889  f8  00
0.10918  fc  b3
0.10948  fa  be
0.10977  fe  ba
0.11007  00  c5
0.11048  90  00
0.11077  00  00
0.11105  00  90
0.11132  b0  00
0.11161  7f  16
0.11188  ff  16
0.11215  0a  50
0.11242  00  aa
0.11268  b0  00
0.11297  00  16
0.11324  00  16
0.11351  a0  50
0.11380  00  00
0.11407  e4  c8
0.11438  00  9c
0.11464  b2  6a
0.11494  00  5a
0.11520  00  02
0.11547  00  46

0.11714  f0  00
0.11743  b0  11
0.11772  00  16
0.11798  00  16
0.11825  00  50
0.11855  c0  00
0.11884  00  00
0.11910  00  00

0.15718  e0  00
0.15749  00  c2
0.15776  ea  51
0.15808  00  9c
0.15835  00  46
0.15862  00  00
0.15889  00  00
0.15916  00  00
0.15944  e8  00
0.15976  00  22
0.16003  00  16
0.16030  00  00
0.16057  00  00
0.16084  00  00
0.16112  00  00
0.16143  f8  00
0.16172  fc  b3
0.16202  fa  be
0.16231  fe  ba
0.16261  00  c5
0.16305  90  00
0.16333  00  00
0.16361  00  90
0.16389  b0  00
0.16418  7f  16
0.16445  ff  16
0.16472  0a  50
0.16499  00  aa
0.16525  b0  00
0.16555  00  16
0.16581  00  16
0.16608  a0  50
0.16637  00  00
0.16664  e4  c8
0.16695  00  9c
0.16722  b2  6a
0.16752  00  5a
0.16781  00  02
0.16807  00  46

0.16967  f0  00
0.16996  b0  11
0.17025  00  16
0.17051  00  16
0.17080  00  50
0.17110  c0  00
0.17139  00  00
0.17165  00  00

0.20773  e0  00
0.20804  00  c2
0.20831  ea  51
0.20864  00  9c
0.20891  00  46
0.20918  00  00
0.20945  00  00
0.20972  00  00
0.20999  e8  00
0.21032  00  22
0.21060  00  16
0.21087  00  00
0.21114  00  00
0.21141  00  00
0.21170  00  00
0.21201  f8  00
0.21230  fc  b3
0.21260  fa  be
0.21290  fe  ba
0.21320  00  c5
0.21361  90  00
0.21390  00  00
0.21417  00  90
0.21444  b0  00
0.21473  7f  16
0.21500  ff  16
0.21527  0a  50
0.21554  00  aa
0.21581  b0  00
0.21610  00  16
0.21637  00  16
0.21664  a0  50
0.21692  00  00
0.21719  e4  c8
0.21751  00  9c
0.21777  b2  6a
0.21807  00  5a
0.21833  00  02
0.21860  00  46

0.22024  f0  00
0.22052  b0  11
0.22081  00  16
0.22108  00  16
0.22135  00  50
0.22165  c0  00
0.22194  00  00
0.22220  00  00

0.25670  e0  00
0.25702  00  c2
0.25729  ea  51
0.25761  00  9c
0.25788  00  46
0.25815  00  00
0.25842  00  00
0.25869  00  00
0.25897  e8  00
0.25929  00  22
0.25956  00  16
0.25983  00  00
0.26010  00  00
0.26037  00  00
0.26064  00  00
0.26095  f8  00
0.26124  fc  b3
0.26153  fa  be
0.26183  fe  ba
0.26213  00  c5
0.26254  90  00
0.26283  00  00
0.26311  00  90
0.26337  b0  00
0.26366  7f  16
0.26393  ff  16
0.26420  0a  50
0.26448  00  aa
0.26474  b0  00
0.26504  00  16
0.26531  00  16
0.26558  a0  50
0.26587  00  00
0.26614  e4  c8
0.26647  00  9c
0.26674  b2  6a
0.26704  00  5a
0.26731  00  02
0.26758  00  46

0.27036  f0  00
0.27064  b0  11
0.27093  00  16
0.27119  00  16
0.27146  00  50
0.27176  c0  00
0.27205  00  00
0.27232  00  00

0.30686  e0  00
0.30717  00  c2
0.30744  ea  51
0.30776  00  9c
0.30803  00  46
0.30830  00  00
0.30857  00  00
0.30885  00  00
0.30912  e8  00
0.30944  00  22
0.30971  00  16
0.30998  00  00
0.31025  00  00
0.31053  00  00
0.31080  00  00
0.31111  f8  00
0.31140  fc  b3
0.31169  fa  be
0.31199  fe  ba
0.31229  00  c5
0.31272  90  00
0.31301  00  00
0.31329  00  90
0.31357  b0  00
0.31387  7f  16
0.31413  ff  16
0.31440  0a  50
0.31467  00  aa
0.31493  b0  00
0.31523  00  16
0.31549  00  16
0.31576  a0  50
0.31604  00  00
0.31631  e4  c8
0.31663  00  9c
0.31689  b2  6a
0.31720  00  5a
0.31747  00  02
0.31774  00  46

0.32124  f0  00
0.32152  b0  11
0.32181  00  16
0.32207  00  16
0.32234  00  50
0.32264  c0  00
0.32293  00  00
0.32320  00  00

0.35306  e0  00
0.35337  00  c2
0.35364  ea  51
0.35396  00  9c
0.35423  00  46
0.35450  00  00
0.35477  00  00
0.35504  00  00
0.35532  e8  00
0.35564  00  22
0.35591  00  16
0.35618  00  00
0.35645  00  00
0.35672  00  00
0.35700  00  00
0.35731  f8  00
0.35759  fc  b3
0.35789  fa  be
0.35819  fe  ba
0.35848  00  c5
0.35890  90  00
0.35918  00  00
0.35946  00  90
0.35972  b0  00
0.36002  7f  16
0.36028  ff  16
0.36055  0a  50
0.36083  00  aa
0.36109  b0  00
0.36138  00  16
0.36165  00  16
0.36192  a0  50
0.36221  00  00
0.36248  e4  c8
0.36279  00  9c
0.36306  b2  6a
0.36335  00  5a
0.36362  00  02
0.36389  00  46

0.37212  f0  00
0.37240  b0  11
0.37269  00  16
0.37296  00  16
0.37323  00  50
0.37353  c0  00
0.37382  00  00
0.37408  00  00

0.41197  e0  00
0.41228  00  c2
0.41255  ea  51
0.41288  00  9c
0.41315  00  46
0.41342  00  00
0.41369  00  00
0.41396  00  00
0.41423  e8  00
0.41455  00  22
0.41482  00  16
0.41509  00  00
0.41536  00  00
0.41563  00  00
0.41590  00  00
0.41623  f8  00
0.41652  fc  b3
0.41681  fa  be
0.41712  fe  ba
0.41742  00  c5
0.41783  90  00
0.41812  00  00
0.41839  00  90
0.41866  b0  00
0.41895  7f  16
0.41922  ff  16
0.41950  0a  50
0.41976  00  aa
0.42003  b0  00
0.42032  00  16
0.42059  00  16
0.42086  a0  50
0.42115  00  00
0.42142  e4  c8
0.42174  00  9c
0.42201  b2  6a
0.42231  00  5a
0.42258  00  02
0.42285  00  46

0.42447  f0  00
0.42475  b0  11
0.42504  00  16
0.42531  00  16
0.42558  00  50
0.42588  c0  00
0.42616  00  00
0.42643  00  00

0.46265  e0  00
0.46295  00  c2
0.46322  ea  51
0.46355  00  9c
0.46382  00  46
0.46411  00  00
0.46438  00  00
0.46465  00  00
0.46493  e8  00
0.46524  00  22
0.46552  00  16
0.46579  00  00
0.46605  00  00
0.46633  00  00
0.46660  00  00
0.46691  f8  00
0.46720  fc  b3
0.46750  fa  be
0.46779  fe  ba
0.46810  00  c5
0.46851  90  00
0.46880  00  00
0.46910  00  90
0.46936  b0  00
0.46965  7f  16
0.46992  ff  16
0.47021  0a  50
0.47048  00  aa
0.47075  b0  00
0.47103  00  16
0.47130  00  16
0.47157  a0  50
0.47186  00  00
0.47213  e4  c8
0.47244  00  9c
0.47271  b2  6a
0.47301  00  5a
0.47327  00  02
