# time   MOSI  MISO
0.00015  00  08
0.00093  0a  00
0.00120  00  aa
0.00146  0a  00
0.00174  00  aa
0.00200  80  00
0.00229  0a  81
0.00257  99  87
0.00284  01  00
0.00311  00  c8
0.00338  00  00
0.00366  00  c8
0.00393  00  00
0.00420  00  00
0.00448  b0  00
0.00477  00  16
0.00504  00  16
0.00531  a0  50
0.00560  00  00
0.00587  e4  c8
0.00618  00  9c
0.00644  00  6a
0.00683  50  00
0.00711  2e  50
0.00742  90  50
0.00770  00  00
0.00798  00  90
0.00825  0c  00

0.01850  90  0c
0.01878  00  00
0.01906  00  90
0.01933  0a  00
0.01960  00  aa
0.01987  b0  00
0.02016  00  16
0.02043  00  16
0.02070  a0  50
0.02099  00  00
0.02126  e4  c8
0.02157  00  9c
0.02184  b2  6a
0.02214  00  5a
0.02240  00  00
0.02267  00  25

0.06589  f0  00
0.06617  b0  12
0.06647  00  16
0.06674  00  16
0.06701  00  50
0.06731  c0  00
0.06759  00  00
0.06786  00  00

0.11765  e0  00
0.11795  00  c2
0.11824  ea  ce
0.11856  00  20
0.11883  00  de
0.11910  00  00
0.11937  00  00
0.11964  00  00
0.11992  e8  00
0.12024  00  20
0.12051  00  ed
0.12078  00  00
0.12105  00  00
0.12132  00  00
0.12160  00  00
0.12191  f8  00
0.12219  fc  bd
0.12249  fa  cb
0.12278  fe  be
0.12309  00  cd
0.12380  90  00
0.12427  00  00
0.12461  00  90
0.12531  b0  00
0.12560  7f  16
0.12587  ff  16
0.12614  0a  50
0.12641  00  aa
0.12667  b0  00
0.12697  00  16
0.12723  00  16
0.12751  a0  50
0.12779  00  00
0.12806  e4  c8
0.12838  00  9c
0.12865  b2  6a
0.12895  00  5a
0.12922  00  00
0.12949  00  25

0.13146  f0  00
0.13174  b0  12
0.13203  00  16
0.13229  00  16
0.13256  00  50
0.13286  c0  00
0.13315  00  00
0.13341  00  00

0.18367  e0  00
0.18398  00  c2
0.18425  ea  ce
0.18457  00  20
0.18484  00  de
0.18511  00  00
0.18538  00  00
0.18565  00  00
0.18593  e8  00
0.18625  00  20
0.18652  00  ed
0.18679  00  00
0.18707  00  00
0.18734  00  00
0.18761  00  00
0.18792  f8  00
0.18821  fc  bd
0.18850  fa  cb
0.18880  fe  be
0.18910  00  cd
0.18951  90  00
0.18980  00  00
0.19008  00  90
0.19034  b0  00
0.19064  7f  16
0.19091  ff  16
0.19120  0a  50
0.19147  00  aa
0.19173  b0  00
0.19202  00  16
0.19229  00  16
0.19256  a0  50
0.19285  00  00
0.19311  e4  c8
0.19343  00  9c
0.19370  b2  6a
0.19400  00  5a
0.19427  00  00
0.19454  00  25

0.19647  f0  00
0.19675  b0  12
0.19704  00  16
0.19731  00  16
0.19758  00  50
0.19788  c0  00
0.19826  00  00
0.19852  00  00

0.24749  e0  00
0.24794  00  c2
0.24821  ea  ce
0.24853  00  20
0.24881  00  de
0.24908  00  00
0.24935  00  00
0.24962  00  00
0.24991  e8  00
0.25023  00  20
0.25050  00  ed
0.25077  00  00
0.25104  00  00
0.25131  00  00
0.25159  00  00
0.25192  f8  00
0.25221  fc  bd
0.25250  fa  cb
0.25280  fe  be
0.25310  00  cd
0.25352  90  00
0.25380  00  00
0.25407  00  90
0.25434  b0  00
0.25463  7f  16
0.25490  ff  16
0.25518  0a  50
0.25544  00  aa
0.25571  b0  00
0.25600  00  16
0.25626  00  16
0.25653  a0  50
0.25682  00  00
0.25709  e4  c8
0.25740  00  9c
0.25767  b2  6a
0.25796  00  5a
0.25823  00  00
0.25850  00  25

0.26043  f0  00
0.26071  b0  12
0.26100  00  16
0.26127  00  16
0.26154  00  50
0.26184  c0  00
0.26213  00  00
0.26239  00  00

0.31162  e0  00
0.31193  00  c2
0.31220  ea  ce
0.31252  00  20
0.31280  00  de
0.31307  00  00
0.31334  00  00
0.31361  00  00
0.31388  e8  00
0.31420  00  20
0.31447  00  ed
0.31475  00  00
0.31502  00  00
0.31529  00  00
0.31556  00  00
0.31589  f8  00
0.31618  fc  bd
0.31647  fa  cb
0.31677  fe  be
0.31707  00  cd
0.31748  90  00
0.31777  00  00
0.31804  00  90
0.31831  b0  00
0.31860  7f  16
0.31886  ff  16
0.31913  0a  50
0.31940  00  aa
0.31966  b0  00
0.31995  00  16
0.32022  00  16
0.32049  a0  50
0.32078  00  00
0.32105  e4  c8
0.32136  00  9c
0.32163  b2  6a
0.32193  00  5a
0.32220  00  00
0.32247  00  25

0.32439  f0  00
0.32467  b0  12
0.32496  00  16
0.32523  00  16
0.32550  00  50
0.32582  c0  00
0.32611  00  00
0.32637  00  00

0.37575  e0  00
0.37606  00  c2
0.37633  ea  ce
0.37665  00  20
0.37692  00  de
0.37719  00  00
0.37746  00  00
0.37772  00  00
0.37800  e8  00
0.37832  00  20
0.37859  00  ed
0.37886  00  00
0.37913  00  00
0.37940  00  00
0.37967  00  00
0.37998  f8  00
0.38027  fc  bd
0.38058  fa  cb
0.38088  fe  be
0.38118  00  cd
0.38161  90  00
0.38190  00  00
0.38218  00  90
0.38244  b0  00
0.38273  7f  16
0.38300  ff  16
0.38327  0a  50
0.38354  00  aa
0.38380  b0  00
0.38409  00  16
0.38436  00  16
0.38463  a0  50
0.38492  00  00
0.38519  e4  c8
0.38550  00  9c
0.38577  b2  6a
0.38606  00  5a
0.38633  00  00
0.38660  00  25

0.38850  f0  00
0.38879  b0  12
0.38908  00  16
0.38934  00  16
0.38961  00  50
0.38991  c0  00
0.39020  00  00
0.39046  00  00

0.43957  e0  00
0.43988  00  c2
0.44015  ea  ce
0.44047  00  20
0.44074  00  de
0.44101  00  00
0.44128  00  00
0.44154  00  00
0.44182  e8  00
0.44214  00  20
0.44242  00  ed
0.44269  00  00
0.44296  00  00
0.44323  00  00
0.44351  00  00
0.44382  f8  00
0.44411  fc  bd
0.44442  fa  cb
0.44472  fe  be
0.44502  00  cd
0.44545  90  00
0.44574  00  00
0.44602  00  90
0.44628  b0  00
0.44657  7f  16
0.44684  ff  16
0.44711  0a  50
0.44744  00  aa
0.44770  b0  00
0.44800  00  16
0.44827  00  16
0.44853  a0  50
0.44882  00  00
0.44909  e4  c8
0.44941  00  9c
0.44968  b2  6a
0.44998  00  5a
0.45024  00  00
0.45051  00  25

0.45243  f0  00
0.45272  b0  12
0.45301  00  16
0.45330  00  16
0.45356  00  50
0.45386  c0  00
0.45415  00  00
0.45442  00  00

0.50307  e0  00
0.50338  00  c2
0.50365  ea  ce
0.50398  00  20
0.50427  00  de
0.50454  00  00
0.50481  00  00
0.50508  00  00
0.50536  e8  00
0.50568  00  20
0.50595  00  ed
0.50622  00  00
0.50649  00  00
0.50676  00  00
0.50703  00  00
0.50736  f8  00
0.50765  fc  bd
0.50795  fa  cb
0.50826  fe  be
0.50856  00  cd
0.50897  90  00
0.50926  00  00
0.50953  00  90
0.50980  b0  00
0.51009  7f  16
0.51036  ff  16
0.51063  0a  50
0.51091  00  aa
0.51117  b0  00
0.51146  00  16
0.51173  00  16
0.51200  a0  50
0.51229  00  00
0.51255  e4  c8
0.51287  00  9c
0.51314  b2  6a
0.51345  00  5a
0.51371  00  00
0.51398  00  25

0.51590  f0  00
0.51618  b0  12
0.51647  00  16
0.51674  00  16
0.51701  00  50
0.51733  c0  00
0.51762  00  00
0.51788  00  00

0.56509  e0  00
0.56539  00  c2
0.56566  ea  ce
0.56599  00  20
0.56626  00  de
0.56653  00  00
0.56680  00  00
0.56707  00  00
0.56734  e8  00
0.56767  00  20
0.56793  00  ed
0.56821  00  00
0.56848  00  00
0.56875  00  00
0.56902  00  00
0.56933  f8  00
0.56961  fc  bd
0.56991  fa  cb
0.57021  fe  be
0.57051  00  cd
0.57092  90  00
0.57121  00  00
0.57148  00  90
0.57175  b0  00
0.57204  7f  16
0.57231  ff  16
0.57258  0a  50
0.57286  00  aa
0.57313  b0  00
0.57342  00  16
0.57369  00  16
0.57396  a0  50
0.57424  00  00
0.57451  e4  c8
0.57483  00  9c
0.57510  b2  6a
0.57540  00  5a
