# time   MOSI  MISO
0.00015  00  08
0.00093  0a  00
0.00120  00  aa
0.00149  0a  00
0.00177  00  aa
0.00203  80  00
0.00234  0a  81
0.00262  99  87
0.00290  01  00
0.00317  00  c8
0.00344  00  00
0.00371  00  c8
0.00399  00  00
0.00425  00  00
0.00455  b0  00
0.00483  00  16
0.00510  00  16
0.00537  a0  50
0.00566  00  00
0.00593  e4  c8
0.00625  00  9c
0.00651  00  6a
0.00690  50  00
0.00718  2f  50
0.00746  90  50
0.00774  00  00
0.00801  00  80
0.00828  0c  00

0.01841  90  0c
0.01870  00  00
0.01898  00  80
0.01925  0a  00
0.01952  00  aa
0.01979  b0  00
0.02008  00  16
0.02035  00  16
0.02062  a0  50
0.02091  00  00
0.02118  e4  c8
0.02149  00  9c
0.02176  b2  6a
0.02206  00  5a
0.02233  00  01
0.02260  00  35

0.06520  f0  00
0.06548  b0  0d
0.06577  00  16
0.06603  00  16
0.06630  00  50
0.06660  c0  00
0.06689  00  00
0.06718  00  00

0.11650  e0  00
0.11681  00  c2
0.11707  ea  9e
0.11740  00  21
0.11767  00  48
0.11794  00  00
0.11821  00  00
0.11848  00  00
0.11876  e8  00
0.11908  00  21
0.11935  00  66
0.11962  00  00
0.11989  00  00
0.12016  00  00
0.12043  00  00
0.12073  f8  00
0.12104  fc  ba
0.12134  fa  c6
0.12163  fe  bd
0.12193  00  ca
0.12265  90  00
0.12294  00  00
0.12342  00  80
0.12416  b0  00
0.12446  7f  16
0.12472  ff  16
0.12499  0a  50
0.12526  00  aa
0.12552  b0  00
0.12581  00  16
0.12607  00  16
0.12634  a0  50
0.12663  00  00
0.12690  e4  c8
0.12721  00  9c
0.12748  b2  6a
0.12779  00  5a
0.12805  00  01
0.12831  00  35

0.13028  f0  00
0.13057  b0  0d
0.13086  00  16
0.13113  00  16
0.13140  00  50
0.13170  c0  00
0.13201  00  00
0.13228  00  00

0.18207  e0  00
0.18238  00  c2
0.18265  ea  9e
0.18299  00  21
0.18326  00  48
0.18353  00  00
0.18380  00  00
0.18407  00  00
0.18435  e8  00
0.18467  00  21
0.18494  00  66
0.18521  00  00
0.18548  00  00
0.18575  00  00
0.18602  00  00
0.18633  f8  00
0.18662  fc  ba
0.18691  fa  c6
0.18721  fe  bd
0.18751  00  ca
0.18792  90  00
0.18821  00  00
0.18848  00  80
0.18875  b0  00
0.18904  7f  16
0.18930  ff  16
0.18957  0a  50
0.18984  00  aa
0.19011  b0  00
0.19041  00  16
0.19068  00  16
0.19097  a0  50
0.19125  00  00
0.19152  e4  c8
0.19184  00  9c
0.19211  b2  6a
0.19241  00  5a
0.19267  00  01
0.19297  00  35

0.19487  f0  00
0.19516  b0  0d
0.19545  00  16
0.19571  00  16
0.19598  00  50
0.19628  c0  00
0.19656  00  00
0.19685  00  00

0.24623  e0  00
0.24654  00  c2
0.24682  ea  9e
0.24714  00  21
0.24741  00  48
0.24768  00  00
0.24806  00  00
0.24833  00  00
0.24861  e8  00
0.24893  00  21
0.24920  00  66
0.24947  00  00
0.24974  00  00
0.25001  00  00
0.25028  00  00
0.25059  f8  00
0.25088  fc  ba
0.25118  fa  c6
0.25147  fe  bd
0.25178  00  ca
0.25219  90  00
0.25247  00  00
0.25275  00  80
0.25301  b0  00
0.25330  7f  16
0.25357  ff  16
0.25386  0a  50
0.25413  00  aa
0.25440  b0  00
0.25470  00  16
0.25497  00  16
0.25524  a0  50
0.25553  00  00
0.25580  e4  c8
0.25612  00  9c
0.25639  b2  6a
0.25670  00  5a
0.25697  00  01
0.25724  00  35

0.25917  f0  00
0.25945  b0  0d
0.25974  00  16
0.26001  00  16
0.26028  00  50
0.26058  c0  00
0.26087  00  00
0.26113  00  00

0.31087  e0  00
0.31118  00  c2
0.31145  ea  9e
0.31177  00  21
0.31204  00  48
0.31231  00  00
0.31258  00  00
0.31285  00  00
0.31313  e8  00
0.31345  00  21
0.31372  00  66
0.31399  00  00
0.31426  00  00
0.31455  00  00
0.31483  00  00
0.31514  f8  00
0.31543  fc  ba
0.31572  fa  c6
0.31602  fe  bd
0.31632  00  ca
0.31676  90  00
0.31704  00  00
0.31731  00  80
0.31758  b0  00
0.31787  7f  16
0.31814  ff  16
0.31841  0a  50
0.31868  00  aa
0.31894  b0  00
0.31924  00  16
0.31950  00  16
0.31977  a0  50
0.32006  00  00
0.32033  e4  c8
0.32064  00  9c
0.32091  b2  6a
0.32121  00  5a
0.32148  00  01
0.32175  00  35

0.32368  f0  00
0.32396  b0  0d
0.32425  00  16
0.32453  00  16
0.32480  00  50
0.32510  c0  00
0.32539  00  00
0.32565  00  00

0.37503  e0  00
0.37534  00  c2
0.37560  ea  9e
0.37592  00  21
0.37619  00  48
0.37646  00  00
0.37673  00  00
0.37700  00  00
0.37728  e8  00
0.37760  00  21
0.37787  00  66
0.37814  00  00
0.37841  00  00
0.37868  00  00
0.37895  00  00
0.37926  f8  00
0.37955  fc  ba
0.37985  fa  c6
0.38014  fe  bd
0.38045  00  ca
0.38086  90  00
0.38115  00  00
0.38142  00  80
0.38169  b0  00
0.38198  7f  16
0.38225  ff  16
0.38254  0a  50
0.38281  00  aa
0.38307  b0  00
0.38338  00  16
0.38365  00  16
0.38392  a0  50
0.38421  00  00
0.38448  e4  c8
0.38480  00  9c
0.38507  b2  6a
0.38538  00  5a
0.38565  00  01
0.38592  00  35

0.38784  f0  00
0.38813  b0  0d
0.38842  00  16
0.38868  00  16
0.38895  00  50
0.38925  c0  00
0.38954  00  00
0.38981  00  00

0.43918  e0  00
0.43949  00  c2
0.43976  ea  9e
0.44008  00  21
0.44035  00  48
0.44062  00  00
0.44089  00  00
0.44116  00  00
0.44143  e8  00
0.44175  00  21
0.44202  00  66
0.44229  00  00
0.44256  00  00
0.44283  00  00
0.44311  00  00
0.44344  f8  00
0.44372  fc  ba
0.44402  fa  c6
0.44433  fe  bd
0.44463  00  ca
0.44505  90  00
0.44533  00  00
0.44560  00  80
0.44587  b0  00
0.44616  7f  16
0.44642  ff  16
0.44669  0a  50
0.44696  00  aa
0.44735  b0  00
0.44764  00  16
0.44790  00  16
0.44818  a0  50
0.44846  00  00
0.44873  e4  c8
0.44904  00  9c
0.44931  b2  6a
0.44961  00  5a
0.44988  00  01
0.45015  00  35

0.45208  f0  00
0.45236  b0  0d
0.45265  00  16
0.45291  00  16
0.45320  00  50
0.45350  c0  00
0.45379  00  00
0.45406  00  00

0.50382  e0  00
0.50413  00  c2
0.50440  ea  9e
0.50472  00  21
0.50499  00  48
0.50526  00  00
0.50553  00  00
0.50580  00  00
0.50607  e8  00
0.50640  00  21
0.50667  00  66
0.50693  00  00
0.50721  00  00
0.50748  00  00
0.50775  00  00
0.50807  f8  00
0.50836  fc  ba
0.50865  fa  c6
0.50895  fe  bd
0.50925  00  ca
0.50966  90  00
0.50994  00  00
0.51022  00  80
0.51049  b0  00
0.51078  7f  16
0.51106  ff  16
0.51133  0a  50
0.51161  00  aa
0.51187  b0  00
0.51216  00  16
0.51243  00  16
0.51270  a0  50
0.51299  00  00
0.51326  e4  c8
0.51357  00  9c
0.51384  b2  6a
0.51415  00  5a
0.51442  00  01
0.51469  00  35

0.51661  f0  00
0.51690  b0  0d
0.51719  00  16
0.51746  00  16
0.51773  00  50
0.51804  c0  00
0.51833  00  00
0.51860  00  00

0.56772  e0  00
0.56803  00  c2
0.56830  ea  9e
0.56862  00  21
0.56891  00  48
0.56918  00  00
0.56945  00  00
0.56972  00  00
0.57002  e8  00
0.57034  00  21
0.57061  00  66
0.57088  00  00
0.57114  00  00
0.57141  00  00
0.57169  00  00
0.57202  f8  00
0.57231  fc  ba
0.57260  fa  c6
0.57291  fe  bd
0.57321  00  ca
0.57362  90  00
0.57391  00  00
0.57418  00  80
0.57445  b0  00
0.57474  7f  16
0.57500  ff  16
0.57527  0a  50
0.57554  00  aa
0.57580  b0  00
0.57609  00  16
0.57636  00  16
0.57663  a0  50
0.57692  00  00
0.57719  e4  c8
0.57751  00  9c
0.57778  b2  6a
