# time   MOSI  MISO
0.00015  00  08
0.00093  0a  00
0.00120  00  aa
0.00149  0a  00
0.00175  00  aa
0.00202  80  00
0.00230  0a  81
0.00258  99  87
0.00286  01  00
0.00313  00  c8
0.00340  00  00
0.00367  00  c8
0.00395  00  00
0.00422  00  00
0.00451  b0  00
0.00480  00  16
0.00507  00  16
0.00535  a0  50
0.00564  00  00
0.00591  e4  c8
0.00623  00  9c
0.00649  00  6a
0.00688  50  00
0.00715  2d  50
0.00746  90  50
0.00774  00  00
0.00801  00  90
0.00828  0c  00

0.01843  90  0c
0.01872  00  00
0.01900  00  90
0.01927  0a  00
0.01954  00  aa
0.01981  b0  00
0.02010  00  16
0.02037  00  16
0.02064  a0  50
0.02093  00  00
0.02120  e4  c8
0.02151  00  9c
0.02178  b2  6a
0.02208  00  5a
0.02235  00  02
0.02262  00  46

0.06582  f0  00
0.06611  b0  11
0.06640  00  16
0.06667  00  16
0.06694  00  50
0.06724  c0  00
0.06752  00  00
0.06779  00  00

0.11397  e0  00
0.11428  00  c2
0.11455  ea  51
0.11487  00  9c
0.11514  00  46
0.11541  00  00
0.11568  00  00
0.11595  00  00
0.11622  e8  00
0.11654  00  22
0.11681  00  16
0.11708  00  00
0.11735  00  00
0.11762  00  00
0.11790  00  00
0.11823  f8  00
0.11851  fc  b3
0.11881  fa  be
0.11911  fe  ba
0.11941  00  c5
0.11982  90  00
0.12011  00  00
0.12038  00  90
0.12065  b0  00
0.12094  7f  16
0.12120  ff  16
0.12147  0a  50
0.12174  00  aa
0.12201  b0  00
0.12230  00  16
0.12257  00  16
0.12284  a0  50
0.12312  00  00
0.12340  e4  c8
0.12371  00  9c
0.12398  b2  6a
0.12428  00  5a
0.12455  00  02
0.12482  00  46

0.12679  f0  00
0.12707  b0  11
0.12736  00  16
0.12762  00  16
0.12789  00  50
0.12821  c0  00
0.12850  00  00
0.12877  00  00

0.17528  e0  00
0.17559  00  c2
0.17586  ea  51
0.17618  00  9c
0.17645  00  46
0.17672  00  00
0.17699  00  00
0.17726  00  00
0.17754  e8  00
0.17786  00  22
0.17813  00  16
0.17840  00  00
0.17867  00  00
0.17894  00  00
0.17921  00  00
0.17952  f8  00
0.17981  fc  b3
0.18011  fa  be
0.18040  fe  ba
0.18071  00  c5
0.18114  90  00
0.18142  00  00
0.18170  00  90
0.18196  b0  00
0.18226  7f  16
0.18253  ff  16
0.18280  0a  50
0.18307  00  aa
0.18333  b0  00
0.18363  00  16
0.18390  00  16
0.18417  a0  50
0.18446  00  00
0.18473  e4  c8
0.18505  00  9c
0.18532  b2  6a
0.18562  00  5a
0.18590  00  02
0.18617  00  46

0.18809  f0  00
0.18837  b0  11
0.18866  00  16
0.18892  00  16
0.18919  00  50
0.18949  c0  00
0.18978  00  00
0.19005  00  00

0.23680  e0  00
0.23712  00  c2
0.23739  ea  51
0.23771  00  9c
0.23798  00  46
0.23825  00  00
0.23852  00  00
0.23879  00  00
0.23907  e8  00
0.23939  00  22
0.23966  00  16
0.23993  00  00
0.24020  00  00
0.24047  00  00
0.24076  00  00
0.24107  f8  00
0.24136  fc  b3
0.24165  fa  be
0.24195  fe  ba
0.24225  00  c5
0.24266  90  00
0.24295  00  00
0.24322  00  90
0.24349  b0  00
0.24378  7f  16
0.24405  ff  16
0.24432  0a  50
0.24460  00  aa
0.24487  b0  00
0.24516  00  16
0.24543  00  16
0.24570  a0  50
0.24598  00  00
0.24625  e4  c8
0.24657  00  9c
0.24685  b2  6a
0.24714  00  5a
0.24741  00  02
0.24768  00  46

0.24974  f0  00
0.25002  b0  11
0.25031  00  16
0.25058  00  16
0.25085  00  50
0.25115  c0  00
0.25144  00  00
0.25170  00  00

0.29865  e0  00
0.29896  00  c2
0.29922  ea  51
0.29954  00  9c
0.29982  00  46
0.30009  00  00
0.30036  00  00
0.30063  00  00
0.30090  e8  00
0.30122  00  22
0.30149  00  16
0.30177  00  00
0.30204  00  00
0.30231  00  00
0.30260  00  00
0.30291  f8  00
0.30320  fc  b3
0.30349  fa  be
0.30379  fe  ba
0.30409  00  c5
0.30450  90  00
0.30479  00  00
0.30506  00  90
0.30533  b0  00
0.30562  7f  16
0.30589  ff  16
0.30616  0a  50
0.30644  00  aa
0.30671  b0  00
0.30700  00  16
0.30727  00  16
0.30754  a0  50
0.30784  00  00
0.30811  e4  c8
0.30842  00  9c
0.30869  b2  6a
0.30899  00  5a
0.30926  00  02
0.30953  00  46

0.31145  f0  00
0.31174  b0  11
0.31202  00  16
0.31229  00  16
0.31258  00  50
0.31288  c0  00
0.31316  00  00
0.31343  00  00

0.36059  e0  00
0.36090  00  c2
0.36117  ea  51
0.36149  00  9c
0.36176  00  46
0.36203  00  00
0.36230  00  00
0.36257  00  00
0.36285  e8  00
0.36317  00  22
0.36345  00  16
0.36372  00  00
0.36399  00  00
0.36426  00  00
0.36455  00  00
0.36486  f8  00
0.36515  fc  b3
0.36544  fa  be
0.36574  fe  ba
0.36604  00  c5
0.36645  90  00
0.36674  00  00
0.36702  00  90
0.36728  b0  00
0.36758  7f  16
0.36785  ff  16
0.36812  0a  50
0.36839  00  aa
0.36867  b0  00
0.36895  00  16
0.36922  00  16
0.36949  a0  50
0.36978  00  00
0.37005  e4  c8
0.37036  00  9c
0.37063  b2  6a
0.37093  00  5a
0.37119  00  02
0.37146  00  46

0.37336  f0  00
0.37365  b0  11
0.37394  00  16
0.37420  00  16
0.37447  00  50
0.37477  c0  00
0.37506  00  00
0.37533  00  00

0.42260  e0  00
0.42291  00  c2
0.42318  ea  51
0.42350  00  9c
0.42377  00  46
0.42404  00  00
0.42431  00  00
0.42458  00  00
0.42486  e8  00
0.42518  00  22
0.42545  00  16
0.42572  00  00
0.42599  00  00
0.42629  00  00
0.42657  00  00
0.42688  f8  00
0.42716  fc  b3
0.42746  fa  be
0.42776  fe  ba
0.42806  00  c5
0.42850  90  00
0.42879  00  00
0.42906  00  90
0.42933  b0  00
0.42962  7f  16
0.42988  ff  16
0.43016  0a  50
0.43043  00  aa
0.43069  b0  00
0.43098  00  16
0.43125  00  16
0.43152  a0  50
0.43181  00  00
0.43208  e4  c8
0.43239  00  9c
0.43266  b2  6a
0.43296  00  5a
0.43322  00  02
0.43349  00  46

0.43542  f0  00
0.43570  b0  11
0.43599  00  16
0.43626  00  16
0.43653  00  50
0.43683  c0  00
0.43712  00  00
0.43738  00  00

0.48438  e0  00
0.48469  00  c2
0.48496  ea  51
0.48528  00  9c
0.48555  00  46
0.48582  00  00
0.48609  00  00
0.48636  00  00
0.48664  e8  00
0.48696  00  22
0.48724  00  16
0.48751  00  00
0.48778  00  00
0.48805  00  00
0.48832  00  00
0.48863  f8  00
0.48892  fc  b3
0.48923  fa  be
0.48953  fe  ba
0.48983  00  c5
0.49027  90  00
0.49055  00  00
0.49083  00  90
0.49110  b0  00
0.49139  7f  16
0.49166  ff  16
0.49193  0a  50
0.49220  00  aa
0.49246  b0  00
0.49275  00  16
0.49302  00  16
0.49329  a0  50
0.49358  00  00
0.49385  e4  c8
0.49416  00  9c
0.49443  b2  6a
0.49473  00  5a
0.49499  00  02
0.49526  00  46

0.49723  f0  00
0.49752  b0  11
0.49780  00  16
0.49807  00  16
0.49834  00  50
0.49864  c0  00
0.49893  00  00
0.49921  00  00

0.54650  e0  00
0.54681  00  c2
0.54721  ea  51
0.54754  00  9c
0.54781  00  46
0.54808  00  00
0.54835  00  00
0.54862  00  00
0.54890  e8  00
0.54922  00  22
0.54949  00  16
0.54976  00  00
0.55003  00  00
0.55030  00  00
0.55057  00  00
0.55088  f8  00
0.55117  fc  b3
0.55147  fa  be
0.55176  fe  ba
0.55207  00  c5
0.55248  90  00
0.55277  00  00
0.55305  00  90
0.55331  b0  00
0.55361  7f  16
0.55387  ff  16
0.55416  0a  50
0.55444  00  aa
0.55470  b0  00
0.55500  00  16
0.55526  00  16
0.55553  a0  50
0.55582  00  00
0.55609  e4  c8
0.55640  00  9c
0.55667  b2  6a
0.55697  00  5a
0.55724  00  02
