# time   MOSI  MISO
0.00015  00  08
0.00093  0a  00
0.00120  00  aa
0.00147  0a  00
0.00174  00  aa
0.00200  80  00
0.00229  0a  81
0.00257  99  87
0.00284  01  00
0.00312  00  c8
0.00338  00  00
0.00366  00  c8
0.00393  00  00
0.00420  00  00
0.00447  b0  00
0.00476  00  16
0.00502  00  16
0.00529  a0  50
0.00558  00  00
0.00585  e4  c8
0.00616  00  9c
0.00643  00  6a
0.00682  50  00
0.00709  2d  50
0.00738  90  50
0.00766  00  00
0.00794  00  90
0.00821  0c  00

0.01850  90  0c
0.01879  00  00
0.01906  00  90
0.01934  0a  00
0.01961  00  aa
0.01987  b0  00
0.02016  00  16
0.02043  00  16
0.02070  a0  50
0.02099  00  00
0.02126  e4  c8
0.02158  00  9c
0.02184  b2  6a
0.02215  00  5a
0.02241  00  02
0.02268  00  46

0.06528  f0  00
0.06557  b0  11
0.06585  00  16
0.06612  00  16
0.06639  00  50
0.06669  c0  00
0.06698  00  00
0.06724  00  00

0.11868  e0  00
0.11898  00  c2
0.11925  ea  51
0.11959  00  9c
0.11986  00  46
0.12013  00  00
0.12040  00  00
0.12067  00  00
0.12095  e8  00
0.12127  00  22
0.12154  00  16
0.12181  00  00
0.12208  00  00
0.12235  00  00
0.12262  00  00
0.12307  f8  00
0.12336  fc  b3
0.12366  fa  be
0.12395  fe  ba
0.12426  00  c5
0.12467  90  00
0.12496  00  00
0.12523  00  90
0.12550  b0  00
0.12579  7f  16
0.12606  ff  16
0.12635  0a  50
0.12662  00  aa
0.12688  b0  00
0.12717  00  16
0.12744  00  16
0.12771  a0  50
0.12800  00  00
0.12826  e4  c8
0.12858  00  9c
0.12884  b2  6a
0.12914  00  5a
0.12941  00  02
0.12968  00  46

0.13159  f0  00
0.13188  b0  11
0.13217  00  16
0.13243  00  16
0.13270  00  50
0.13300  c0  00
0.13329  00  00
0.13355  00  00

0.18562  e0  00
0.18592  00  c2
0.18619  ea  51
0.18652  00  9c
0.18679  00  46
0.18706  00  00
0.18734  00  00
0.18761  00  00
0.18788  e8  00
0.18820  00  22
0.18847  00  16
0.18874  00  00
0.18901  00  00
0.18928  00  00
0.18956  00  00
0.19000  f8  00
0.19029  fc  b3
0.19059  fa  be
0.19088  fe  ba
0.19118  00  c5
0.19159  90  00
0.19188  00  00
0.19216  00  90
0.19243  b0  00
0.19272  7f  16
0.19298  ff  16
0.19325  0a  50
0.19352  00  aa
0.19379  b0  00
0.19408  00  16
0.19435  00  16
0.19462  a0  50
0.19491  00  00
0.19518  e4  c8
0.19550  00  9c
0.19576  b2  6a
0.19606  00  5a
0.19632  00  02
0.19659  00  46

0.19858  f0  00
0.19886  b0  11
0.19916  00  16
0.19942  00  16
0.19968  00  50
0.19998  c0  00
0.20027  00  00
0.20053  00  00

0.25168  e0  00
0.25199  00  c2
0.25226  ea  51
0.25259  00  9c
0.25286  00  46
0.25313  00  00
0.25340  00  00
0.25367  00  00
0.25394  e8  00
0.25426  00  22
0.25453  00  16
0.25480  00  00
0.25507  00  00
0.25534  00  00
0.25562  00  00
0.25609  f8  00
0.25638  fc  b3
0.25667  fa  be
0.25697  fe  ba
0.25727  00  c5
0.25769  90  00
0.25797  00  00
0.25825  00  90
0.25851  b0  00
0.25881  7f  16
0.25908  ff  16
0.25935  0a  50
0.25962  00  aa
0.25989  b0  00
0.26018  00  16
0.26045  00  16
0.26072  a0  50
0.26101  00  00
0.26128  e4  c8
0.26159  00  9c
0.26187  b2  6a
0.26218  00  5a
0.26244  00  02
0.26271  00  46

0.26455  f0  00
0.26484  b0  11
0.26514  00  16
0.26541  00  16
0.26568  00  50
0.26600  c0  00
0.26629  00  00
0.26656  00  00

0.31859  e0  00
0.31890  00  c2
0.31917  ea  51
0.31950  00  9c
0.31977  00  46
0.32004  00  00
0.32031  00  00
0.32058  00  00
0.32085  e8  00
0.32117  00  22
0.32144  00  16
0.32172  00  00
0.32199  00  00
0.32226  00  00
0.32254  00  00
0.32301  f8  00
0.32330  fc  b3
0.32361  fa  be
0.32391  fe  ba
0.32421  00  c5
0.32462  90  00
0.32490  00  00
0.32518  00  90
0.32545  b0  00
0.32574  7f  16
0.32601  ff  16
0.32628  0a  50
0.32655  00  aa
0.32683  b0  00
0.32712  00  16
0.32739  00  16
0.32766  a0  50
0.32794  00  00
0.32821  e4  c8
0.32853  00  9c
0.32880  b2  6a
0.32910  00  5a
0.32937  00  02
0.32963  00  46

0.33148  f0  00
0.33176  b0  11
0.33205  00  16
0.33232  00  16
0.33259  00  50
0.33289  c0  00
0.33318  00  00
0.33344  00  00

0.38510  e0  00
0.38541  00  c2
0.38568  ea  51
0.38600  00  9c
0.38627  00  46
0.38656  00  00
0.38683  00  00
0.38709  00  00
0.38737  e8  00
0.38769  00  22
0.38796  00  16
0.38823  00  00
0.38850  00  00
0.38877  00  00
0.38904  00  00
0.38949  f8  00
0.38978  fc  b3
0.39007  fa  be
0.39037  fe  ba
0.39067  00  c5
0.39108  90  00
0.39137  00  00
0.39164  00  90
0.39191  b0  00
0.39219  7f  16
0.39246  ff  16
0.39273  0a  50
0.39301  00  aa
0.39327  b0  00
0.39356  00  16
0.39383  00  16
0.39410  a0  50
0.39439  00  00
0.39465  e4  c8
0.39497  00  9c
0.39524  b2  6a
0.39553  00  5a
0.39580  00  02
0.39607  00  46

0.39807  f0  00
0.39835  b0  11
0.39864  00  16
0.39891  00  16
0.39918  00  50
0.39948  c0  00
0.39977  00  00
0.40003  00  00

0.45165  e0  00
0.45196  00  c2
0.45223  ea  51
0.45255  00  9c
0.45282  00  46
0.45309  00  00
0.45338  00  00
0.45365  00  00
0.45393  e8  00
0.45425  00  22
0.45452  00  16
0.45479  00  00
0.45506  00  00
0.45533  00  00
0.45561  00  00
0.45606  f8  00
0.45635  fc  b3
0.45664  fa  be
0.45694  fe  ba
0.45724  00  c5
0.45768  90  00
0.45796  00  00
0.45824  00  90
0.45852  b0  00
0.45882  7f  16
0.45909  ff  16
0.45938  0a  50
0.45965  00  aa
0.45991  b0  00
0.46020  00  16
0.46047  00  16
0.46074  a0  50
0.46103  00  00
0.46130  e4  c8
0.46161  00  9c
0.46188  b2  6a
0.46217  00  5a
0.46244  00  02
0.46271  00  46

0.46457  f0  00
0.46486  b0  11
0.46514  00  16
0.46541  00  16
0.46568  00  50
0.46598  c0  00
0.46627  00  00
0.46653  00  00

0.51794  e0  00
0.51825  00  c2
0.51852  ea  51
0.51884  00  9c
0.51912  00  46
0.51939  00  00
0.51967  00  00
0.51994  00  00
0.52021  e8  00
0.52054  00  22
0.52081  00  16
0.52108  00  00
0.52135  00  00
0.52162  00  00
0.52189  00  00
0.52237  f8  00
0.52265  fc  b3
0.52295  fa  be
0.52324  fe  ba
0.52354  00  c5
0.52395  90  00
0.52423  00  00
0.52451  00  90
0.52478  b0  00
0.52507  7f  16
0.52534  ff  16
0.52561  0a  50
0.52588  00  aa
0.52614  b0  00
0.52643  00  16
0.52670  00  16
0.52697  a0  50
0.52726  00  00
0.52753  e4  c8
0.52784  00  9c
0.52811  b2  6a
0.52842  00  5a
0.52868  00  02
0.52895  00  46

0.53082  f0  00
0.53111  b0  11
0.53140  00  16
0.53167  00  16
0.53194  00  50
0.53226  c0  00
0.53255  00  00
0.53281  00  00

0.58414  e0  00
0.58445  00  c2
0.58472  ea  51
0.58505  00  9c
0.58532  00  46
0.58559  00  00
0.58586  00  00
0.58614  00  00
0.58641  e8  00
0.58673  00  22
0.58700  00  16
0.58727  00  00
0.58754  00  00
0.58781  00  00
0.58809  00  00
0.58854  f8  00
0.58882  fc  b3
0.58912  fa  be
0.58941  fe  ba
0.58971  00  c5
0.59015  90  00
0.59043  00  00
0.59071  00  90
0.59098  b0  00
0.59127  7f  16
0.59154  ff  16
0.59181  0a  50
0.59208  00  aa
0.59235  b0  00
0.59264  00  16
0.59292  00  16
0.59319  a0  50
0.59348  00  00
0.59375  e4  c8
0.59407  00  9c
0.59433  b2  6a
0.59464  00  5a
0.59492  00  02
