# time   MOSI  MISO
0.00015  00  00
0.00096  0a  00
0.00123  00  aa
0.00150  0a  00
0.00177  00  aa
0.00204  80  00
0.00232  0a  81
0.00260  99  87
0.00288  01  00
0.00315  00  c8
0.00342  00  00
0.00369  00  c8
0.00397  00  00
0.00424  00  00
0.00451  b0  00
0.00480  00  16
0.00507  00  16
0.00534  a0  50
0.00563  00  00
0.00590  e4  c8
0.00621  00  9c
0.00648  00  6a
0.00687  50  00
0.00715  2f  50
0.00743  90  50
0.00772  00  00
0.00799  00  10
0.00829  0c  00

0.02023  07  0c
0.02072  0f  07

0.05021  f0  0f
0.05050  b0  11
0.05079  00  16
0.05108  00  16
0.05135  00  50
0.05165  c0  00
0.05194  00  00
0.05220  00  00

0.10412  e0  00
0.10442  00  c2
0.10469  ea  51
0.10502  00  9c
0.10529  00  46
0.10556  00  00
0.10583  00  00
0.10610  00  00
0.10637  e8  00
0.10669  00  22
0.10696  00  16
0.10723  00  00
0.10750  00  00
0.10777  00  00
0.10804  00  00
0.10831  f8  00
0.10860  fc  b3
0.10889  fa  be
0.10919  fe  ba
0.10949  00  c5
0.10986  90  00
0.11015  00  00
0.11042  00  10
0.11070  0a  00
0.11097  00  aa
0.11123  b0  00
0.11152  00  16
0.11179  00  16
0.11206  a0  50
0.11235  00  00
0.11262  e4  c8
0.11293  00  9c
0.11320  b2  6a
0.11350  00  5a
0.11377  00  02
0.11404  00  46

0.14999  f0  00
0.15028  b0  11
0.15057  00  16
0.15083  00  16
0.15110  00  50
0.15140  c0  00
0.15169  00  00
0.15195  00  00

0.20573  e0  00
0.20605  00  c2
0.20631  ea  51
0.20663  00  9c
0.20691  00  46
0.20718  00  00
0.20745  00  00
0.20772  00  00
0.20799  e8  00
0.20831  00  22
0.20858  00  16
0.20884  00  00
0.20911  00  00
0.20938  00  00
0.20966  00  00
0.20995  f8  00
0.21024  fc  b3
0.21053  fa  be
0.21083  fe  ba
0.21113  00  c5
0.21150  90  00
0.21179  00  00
0.21206  00  10
0.21234  0a  00
0.21261  00  aa
0.21288  b0  00
0.21317  00  16
0.21344  00  16
0.21371  a0  50
0.21399  00  00
0.21426  e4  c8
0.21458  00  9c
0.21484  b2  6a
0.21514  00  5a
0.21540  00  02
0.21568  00  46

0.24975  f0  00
0.25003  b0  11
0.25032  00  16
0.25060  00  16
0.25086  00  50
0.25116  c0  00
0.25145  00  00
0.25171  00  00

0.30549  e0  00
0.30580  00  c2
0.30607  ea  51
0.30639  00  9c
0.30667  00  46
0.30694  00  00
0.30721  00  00
0.30748  00  00
0.30775  e8  00
0.30807  00  22
0.30834  00  16
0.30862  00  00
0.30889  00  00
0.30916  00  00
0.30945  00  00
0.30972  f8  00
0.31001  fc  b3
0.31030  fa  be
0.31060  fe  ba
0.31090  00  c5
0.31127  90  00
0.31155  00  00
0.31183  00  10
0.31211  0a  00
0.31237  00  aa
0.31265  b0  00
0.31294  00  16
0.31320  00  16
0.31348  a0  50
0.31377  00  00
0.31403  e4  c8
0.31435  00  9c
0.31462  b2  6a
0.31491  00  5a
0.31518  00  02
0.31545  00  46

0.34951  f0  00
0.34979  b0  11
0.35008  00  16
0.35035  00  16
0.35063  00  50
0.35092  c0  00
0.35121  00  00
0.35148  00  00

0.40239  e0  00
0.40270  00  c2
0.40297  ea  51
0.40330  00  9c
0.40357  00  46
0.40384  00  00
0.40411  00  00
0.40438  00  00
0.40466  e8  00
0.40498  00  22
0.40525  00  16
0.40552  00  00
0.40579  00  00
0.40606  00  00
0.40633  00  00
0.40660  f8  00
0.40689  fc  b3
0.40718  fa  be
0.40748  fe  ba
0.40778  00  c5
0.40815  90  00
0.40844  00  00
0.40871  00  10
0.40899  0a  00
0.40925  00  aa
0.40952  b0  00
0.40981  00  16
0.41007  00  16
0.41034  a0  50
0.41063  00  00
0.41090  e4  c8
0.41120  00  9c
0.41147  b2  6a
0.41178  00  5a
0.41205  00  02
0.41232  00  46

0.44927  f0  00
0.44955  b0  11
0.44984  00  16
0.45011  00  16
0.45037  00  50
0.45067  c0  00
0.45096  00  00
0.45122  00  00

0.50215  e0  00
0.50246  00  c2
0.50273  ea  51
0.50305  00  9c
0.50332  00  46
0.50359  00  00
0.50386  00  00
0.50413  00  00
0.50441  e8  00
0.50473  00  22
0.50500  00  16
0.50527  00  00
0.50554  00  00
0.50581  00  00
0.50608  00  00
0.50634  f8  00
0.50663  fc  b3
0.50693  fa  be
0.50723  fe  ba
0.50753  00  c5
0.50790  90  00
0.50818  00  00
0.50846  00  10
0.50873  0a  00
0.50901  00  aa
0.50927  b0  00
0.50956  00  16
0.50983  00  16
0.51010  a0  50
0.51039  00  00
0.51066  e4  c8
0.51097  00  9c
0.51124  b2  6a
0.51154  00  5a
0.51181  00  02
0.51208  00  46

0.54903  f0  00
0.54931  b0  11
0.54960  00  16
0.54987  00  16
0.55014  00  50
0.55044  c0  00
0.55072  00  00
0.55099  00  00

0.60477  e0  00
0.60507  00  c2
0.60534  ea  51
0.60567  00  9c
0.60594  00  46
0.60621  00  00
0.60648  00  00
0.60675  00  00
0.60703  e8  00
0.60735  00  22
0.60762  00  16
0.60789  00  00
0.60816  00  00
0.60843  00  00
0.60873  00  00
0.60899  f8  00
0.60928  fc  b3
0.60958  fa  be
0.60987  fe  ba
0.61017  00  c5
0.61054  90  00
0.61082  00  00
0.61110  00  10
0.61137  0a  00
0.61164  00  aa
0.61191  b0  00
0.61221  00  16
0.61247  00  16
0.61274  a0  50
0.61303  00  00
0.61330  e4  c8
0.61361  00  9c
0.61388  b2  6a
0.61417  00  5a
0.61444  00  02
0.61471  00  46

0.64879  f0  00
0.64907  b0  11
0.64936  00  16
0.64963  00  16
0.64990  00  50
0.65019  c0  00
0.65048  00  00
0.65075  00  00

0.70353  e0  00
0.70384  00  c2
0.70411  ea  51
0.70443  00  9c
0.70470  00  46
0.70497  00  00
0.70524  00  00
0.70551  00  00
0.70579  e8  00
0.70611  00  22
0.70638  00  16
0.70665  00  00
0.70692  00  00
0.70719  00  00
0.70749  00  00
0.70776  f8  00
0.70804  fc  b3
0.70834  fa  be
0.70864  fe  ba
0.70894  00  c5
0.70931  90  00
0.70959  00  00
0.70986  00  10
0.71014  0a  00
0.71041  00  aa
0.71068  b0  00
0.71098  00  16
0.71124  00  16
0.71150  a0  50
0.71179  00  00
0.71206  e4  c8
0.71238  00  9c
0.71264  b2  6a
0.71294  00  5a
0.71321  00  02
0.71348  00  46

0.74854  f0  00
0.74883  b0  11
0.74912  00  16
0.74938  00  16
0.74965  00  50
0.74995  c0  00
0.75024  00  00
0.75051  00  00

0.80242  e0  00
0.80273  00  c2
0.80300  ea  51
0.80333  00  9c
0.80360  00  46
0.80387  00  00
0.80413  00  00
0.80441  00  00
0.80468  e8  00
0.80501  00  22
0.80528  00  16
0.80555  00  00
0.80582  00  00
0.80609  00  00
0.80636  00  00
0.80662  f8  00
0.80691  fc  b3
0.80720  fa  be
0.80750  fe  ba
0.80781  00  c5
0.80818  90  00
0.80846  00  00
0.80874  00  10
0.80901  0a  00
0.80929  00  aa
0.80955  b0  00
0.80984  00  16
0.81011  00  16
0.81038  a0  50
0.81067  00  00
0.81094  e4  c8
0.81125  00  9c
0.81152  b2  6a
0.81182  00  5a
0.81209  00  02
0.81235  00  46

0.84830  f0  00
0.84859  b0  11
0.84888  00  16
0.84914  00  16
0.84941  00  50
0.84971  c0  00
0.85000  00  00
0.85027  00  00

0.90118  e0  00
0.90150  00  c2
0.90177  ea  51
0.90209  00  9c
0.90236  00  46
0.90263  00  00
0.90290  00  00
0.90318  00  00
0.90345  e8  00
0.90377  00  22
0.90404  00  16
0.90431  00  00
0.90458  00  00
0.90485  00  00
0.90513  00  00
0.90540  f8  00
0.90568  fc  b3
0.90598  fa  be
0.90627  fe  ba
0.90657  00  c5
0.90694  90  00
0.90723  00  00
0.90751  00  10
0.90778  0a  00
0.90805  00  aa
0.90832  b0  00
0.90861  00  16
0.90888  00  16
0.90915  a0  50
0.90944  00  00
0.90971  e4  c8
0.91002  00  9c
0.91029  b2  6a
0.91059  00  5a
0.91086  00  02
0.91112  00  46

0.94806  f0  00
0.94835  b0  11
0.94864  00  16
0.94890  00  16
0.94917  00  50
0.94947  c0  00
0.94976  00  00
0.95002  00  00

1.00094  e0  00
1.00125  00  c2
1.00152  ea  51
1.00184  00  9c
1.00211  00  46
1.00238  00  00
1.00265  00  00
1.00292  00  00
1.00320  e8  00
1.00352  00  22
1.00379  00  16
1.00406  00  00
1.00433  00  00
1.00460  00  00
1.00487  00  00
1.00514  f8  00
1.00542  fc  b3
1.00572  fa  be
